RODRÍGUEZ,ST,72,68 ,69 ,52 ,64 ,25 ,75 
AQUINO,ST,67,64 ,68 ,50 ,54 ,32 ,75 
ALZÁTE,LM,71,84 ,61 ,70 ,71 ,36 ,49 
VARGAS,CAM,70,74 ,62 ,72 ,71 ,33 ,57 
MONTOYA,CAM,70,82 ,65 ,65 ,74 ,36 ,47 
RIVAS,CDM,70,68 ,59 ,66 ,68 ,66 ,73 
PÉREZ,RM,69,82 ,71 ,65 ,66 ,24 ,72 
GÓMEZ,CDM,68,65 ,59 ,67 ,67 ,64 ,74 
CASTILLO,CDM,67,71 ,50 ,62 ,60 ,64 ,71 
QUIÑONES,LM,66,87 ,51 ,59 ,69 ,42 ,61 
ORDÓÑEZ,CDM,66,67 ,61 ,68 ,68 ,61 ,65 
PAZ,CDM,64,71 ,54 ,61 ,62 ,62 ,59 
ALARCÓN,LM,58,58 ,61 ,51 ,62 ,45 ,66 
BANGUERO,LB,71,75 ,57 ,60 ,67 ,68 ,78 
DELGADO,RB,71,87 ,55 ,62 ,62 ,66 ,68 
GIRALDO,RB,70,83 ,61 ,65 ,68 ,66 ,69 
QUIÑONES,CB,69,33 ,35 ,40 ,37 ,70 ,78 
TORIJANO,CB,69,64 ,33 ,48 ,46 ,70 ,70 
ARBOLEDA,RB,66,77 ,37 ,59 ,59 ,63 ,71 
MOSQUERA,CB,66,46 ,42 ,34 ,42 ,67 ,72 
TAPIA,LB,65,91 ,44 ,55 ,62 ,56 ,69 
VALENCIA,CB,64,48 ,25 ,34 ,41 ,64 ,62 
ALBORNOZ,LB,61,70 ,29 ,50 ,52 ,58 ,59 
SILVA,GK,70,74 ,68 ,76 ,68 ,46 ,67 
DELGADO,GK,67,63 ,65 ,68 ,68 ,42 ,69 
CUESTA,GK,57,53 ,54 ,55 ,48 ,44 ,70 
