NAZARIT,ST,69,69 ,70 ,54 ,58 ,37 ,80 
BRICEÑO,ST,63,66 ,60 ,50 ,62 ,18 ,62 
NUÑEZ,ST,62,74 ,59 ,55 ,63 ,37 ,66 
VARELA,LM,68,91 ,56 ,59 ,73 ,33 ,44 
CATAÑO,CAM,68,69 ,55 ,65 ,71 ,34 ,54 
LEUDO,CDM,67,47 ,42 ,53 ,56 ,67 ,81 
GUILLERMO,CDM,66,67 ,44 ,61 ,68 ,62 ,71 
ORDÓÑEZ,CDM,66,67 ,61 ,68 ,68 ,61 ,65 
VELÁZQUEZ,CAM,65,78 ,54 ,62 ,69 ,36 ,44 
FERNÁNDEZ,RM,64,74 ,64 ,60 ,66 ,22 ,55 
TRÉLLEZ,RM,64,71 ,66 ,54 ,65 ,29 ,73 
GIRALDO,CDM,64,40 ,58 ,56 ,57 ,63 ,65 
MACHADO,RM,62,68 ,48 ,57 ,60 ,64 ,71 
SIERRA,CDM,61,60 ,31 ,53 ,50 ,60 ,71 
SÁNCHEZ,RM,56,66 ,52 ,46 ,56 ,23 ,53 
RIVERA,CDM,55,61 ,52 ,50 ,49 ,50 ,62 
MUÑOZ,CB,70,56 ,33 ,51 ,51 ,72 ,68 
CÓRDOBA,RB,70,87 ,54 ,65 ,64 ,62 ,75 
HINESTROZA,RB,68,71 ,47 ,56 ,65 ,66 ,61 
PAYARES,CB,67,54 ,26 ,39 ,42 ,66 ,75 
BRICEÑO,CB,67,56 ,26 ,40 ,44 ,69 ,66 
ARRECHEA,CB,66,42 ,34 ,38 ,44 ,66 ,66 
CEBALLOS,CB,65,38 ,29 ,42 ,37 ,68 ,62 
TAPIA,LB,65,91 ,44 ,55 ,62 ,56 ,69 
VILLARRAGA,LB,65,60 ,31 ,58 ,57 ,63 ,74 
CANCHIMBO,LB,64,71 ,29 ,61 ,61 ,60 ,53 
GARCÍA,CB,61,51 ,26 ,28 ,35 ,61 ,70 
GONZÁLEZ,RB,60,69 ,39 ,41 ,47 ,62 ,69 
ANGULO,LB,56,90 ,31 ,41 ,53 ,49 ,54 
ESTACIO,GK,64,63 ,66 ,75 ,58 ,44 ,63 
MOSQUERA,GK,62,67 ,58 ,58 ,65 ,45 ,59 
CABEZAS,GK,51,53 ,52 ,48 ,50 ,27 ,47 
