CAICEDO,ST,73,70 ,70 ,56 ,66 ,27 ,70 
CASTRO,ST,70,76 ,70 ,56 ,70 ,22 ,58 
IBARGÜEN,ST,69,75 ,69 ,50 ,65 ,25 ,78 
NAZARIT,ST,69,69 ,70 ,54 ,58 ,37 ,80 
MENA,ST,66,69 ,65 ,48 ,62 ,28 ,68 
QUINTERO,CAM,85,80 ,82 ,87 ,88 ,37 ,55 
QUINTERO,CAM,83,78 ,75 ,85 ,87 ,33 ,50 
QUINTERO,CAM,79,76 ,71 ,80 ,84 ,28 ,45 
MARRUGO,CAM,75,71 ,68 ,75 ,73 ,52 ,60 
ARIAS,CAM,72,75 ,70 ,68 ,72 ,54 ,63 
MORENO,CDM,72,70 ,38 ,60 ,62 ,69 ,78 
MOLINA,CAM,72,71 ,75 ,74 ,72 ,21 ,53 
HERNÁNDEZ,CDM,71,70 ,60 ,67 ,68 ,67 ,71 
VIOLA,LM,70,70 ,67 ,67 ,72 ,26 ,68 
CABEZAS,CDM,69,68 ,55 ,57 ,61 ,68 ,76 
BURBANO,CAM,67,86 ,65 ,57 ,70 ,24 ,62 
VANEGAS,ST,66,86 ,63 ,56 ,64 ,28 ,66 
SAIZ,CB,73,53 ,23 ,44 ,46 ,75 ,74 
MOSQUERA,CB,73,71 ,42 ,57 ,52 ,72 ,78 
PIEDRAHITA,RB,72,81 ,62 ,71 ,68 ,65 ,74 
TIPTON,LB,70,84 ,48 ,63 ,61 ,65 ,76 
LOPERA,CB,69,69 ,62 ,64 ,65 ,66 ,76 
ARIAS,CB,68,70 ,40 ,56 ,58 ,67 ,72 
VALENCIA,LB,68,77 ,54 ,64 ,64 ,63 ,70 
PERTUZ,CB,68,54 ,26 ,42 ,38 ,69 ,72 
CÓRDOBA,RB,66,85 ,28 ,57 ,62 ,62 ,67 
GONZÁLEZ,GK,72,67 ,74 ,66 ,69 ,34 ,78 
RAMOS,GK,67,58 ,71 ,73 ,67 ,16 ,68 
VASQUEZ,GK,63,65 ,61 ,57 ,64 ,40 ,60 
