ÁLVAREZ,ST,71,65 ,69 ,61 ,69 ,29 ,60 
BLANCO,ST,69,78 ,69 ,60 ,71 ,26 ,70 
MENA,ST,66,92 ,65 ,57 ,60 ,30 ,62 
PERALTA,ST,61,56 ,60 ,44 ,56 ,22 ,55 
TAVARES,ST,58,63 ,57 ,46 ,58 ,22 ,60 
MOTTA,CAM,70,72 ,58 ,74 ,70 ,43 ,54 
VÁSQUEZ,CAM,68,72 ,63 ,68 ,69 ,39 ,45 
MAHECHA,RM,67,67 ,60 ,68 ,65 ,62 ,66 
VARGAS,CDM,67,55 ,62 ,67 ,69 ,66 ,63 
RESTREPO,CDM,66,54 ,46 ,63 ,67 ,64 ,66 
GÓMEZ,CDM,64,74 ,54 ,61 ,65 ,62 ,66 
TRÉLLEZ,RM,64,71 ,66 ,54 ,65 ,29 ,73 
ASPRILLA,RM,63,90 ,57 ,53 ,65 ,26 ,54 
MEJÍA,LM,61,71 ,57 ,53 ,62 ,34 ,64 
AYALA,CDM,61,69 ,46 ,55 ,62 ,56 ,74 
CUESTA,RM,59,67 ,58 ,47 ,68 ,18 ,54 
VALOYES,RM,56,72 ,51 ,51 ,56 ,20 ,59 
TORRALVO,LM,56,75 ,36 ,47 ,57 ,57 ,46 
MOSQUERA,LB,67,71 ,44 ,56 ,57 ,66 ,72 
PACHECO,RB,66,89 ,32 ,52 ,59 ,59 ,58 
CANO,RB,66,66 ,28 ,54 ,61 ,64 ,63 
CORREA,LB,65,77 ,38 ,58 ,56 ,60 ,67 
CÓRDOBA,CB,63,42 ,29 ,39 ,30 ,62 ,79 
FULA,CB,62,52 ,36 ,29 ,34 ,62 ,74 
APONZÁ,RB,62,68 ,29 ,59 ,56 ,54 ,67 
MANCILLA,CB,61,71 ,41 ,41 ,50 ,61 ,69 
NOVOA,GK,65,59 ,76 ,72 ,58 ,46 ,62 
GELPI,GK,63,59 ,58 ,67 ,64 ,31 ,72 
PIEDRAHITA,GK,62,63 ,61 ,59 ,64 ,42 ,61 
SILVA,GK,61,54 ,67 ,55 ,58 ,43 ,62 
