DEL VALLE,ST,70,80 ,73 ,62 ,72 ,23 ,62 
GUTIÉRREZ,ST,69,58 ,68 ,62 ,68 ,33 ,73 
NÚÑEZ,RW,69,83 ,61 ,69 ,68 ,50 ,53 
ARANGO,ST,68,76 ,66 ,46 ,67 ,24 ,73 
ESTRADA,CAM,73,66 ,66 ,75 ,72 ,52 ,63 
SILVA,CAM,73,75 ,66 ,72 ,73 ,60 ,74 
HENAO,CDM,72,70 ,68 ,68 ,66 ,69 ,79 
CARRASCAL,CDM,72,67 ,58 ,66 ,65 ,67 ,67 
ROBAYO,CM,71,65 ,62 ,67 ,71 ,67 ,72 
ZAPATA,CAM,70,77 ,62 ,65 ,72 ,33 ,68 
ESCOBAR,LM,70,85 ,62 ,61 ,74 ,24 ,54 
MEJÍA,CAM,68,74 ,65 ,66 ,68 ,36 ,68 
ROJAS,LM,67,69 ,61 ,67 ,68 ,48 ,61 
ASPRILLA,RM,67,77 ,68 ,59 ,71 ,28 ,67 
BARRETO,RM,65,80 ,62 ,60 ,66 ,19 ,45 
ASPRILLA,RM,63,90 ,57 ,53 ,65 ,26 ,54 
HINESTROZA,CDM,61,62 ,33 ,56 ,50 ,59 ,75 
DUQUE,CM,57,66 ,40 ,55 ,59 ,54 ,59 
MOSQUERA,RM,57,71 ,52 ,49 ,61 ,16 ,58 
FRANCO,CB,72,59 ,52 ,65 ,65 ,72 ,73 
CADAVID,CB,71,37 ,37 ,46 ,45 ,71 ,76 
MACHADO,LB,70,84 ,47 ,61 ,69 ,65 ,68 
DOMÍNGUEZ,LB,69,72 ,47 ,65 ,69 ,64 ,69 
HENAO,CB,69,52 ,47 ,38 ,39 ,72 ,74 
PALACIOS,RB,69,86 ,53 ,57 ,64 ,64 ,73 
OCHOA,RB,69,73 ,55 ,61 ,64 ,68 ,66 
QUIÑONES,LB,68,76 ,57 ,61 ,71 ,63 ,61 
VALENCIA,CB,67,56 ,26 ,39 ,37 ,69 ,71 
DIAZ,CB,65,57 ,25 ,37 ,39 ,63 ,71 
BANGUERO,LB,65,73 ,28 ,57 ,55 ,62 ,65 
VEGA,RB,63,63 ,24 ,48 ,54 ,65 ,66 
VIKONIS,GK,75,74 ,77 ,70 ,75 ,39 ,72 
SÁNCHEZ,GK,62,63 ,60 ,58 ,64 ,45 ,60 
SILVA,GK,53,53 ,49 ,58 ,55 ,33 ,52 
