ESTUPIÑÁN,ST,70,74 ,68 ,46 ,67 ,24 ,73 
ROMERO,ST,69,74 ,66 ,66 ,70 ,26 ,58 
VALENCIA,ST,68,83 ,63 ,42 ,67 ,23 ,73 
MONTAÑO,ST,67,72 ,66 ,64 ,68 ,44 ,68 
ARIAS,ST,67,74 ,64 ,39 ,67 ,26 ,66 
LEMOS,ST,59,60 ,61 ,35 ,57 ,17 ,51 
SOTO,CM,72,34 ,62 ,75 ,75 ,69 ,59 
SALAZAR,RM,70,86 ,64 ,62 ,67 ,37 ,66 
CÓRDOBA,CDM,68,54 ,58 ,64 ,61 ,67 ,70 
GUILLERMO,CDM,66,67 ,44 ,61 ,68 ,62 ,71 
ISAZA,CAM,63,68 ,51 ,64 ,58 ,43 ,60 
MARIMÓN,CDM,63,68 ,55 ,49 ,64 ,60 ,70 
MOSQUERA,RM,57,64 ,51 ,46 ,64 ,22 ,66 
CUESTA,CB,71,64 ,44 ,53 ,51 ,71 ,74 
ALCATRAZ,RB,70,75 ,58 ,70 ,69 ,64 ,72 
MUÑOZ,CB,70,56 ,33 ,51 ,51 ,72 ,68 
LOPERA,CB,69,69 ,62 ,64 ,65 ,66 ,76 
MURILLO,LB,68,76 ,61 ,60 ,67 ,68 ,82 
CURE,RB,67,79 ,65 ,62 ,66 ,60 ,76 
MORENO,CB,66,57 ,27 ,38 ,42 ,65 ,74 
CUADRADO,GK,72,75 ,63 ,60 ,74 ,42 ,73 
HENAO,GK,68,70 ,69 ,60 ,69 ,52 ,66 
ROMÁN,GK,58,57 ,52 ,51 ,65 ,41 ,57 
