PÁEZ,ST,71,68 ,72 ,50 ,69 ,32 ,68 
AMAYA,ST,64,73 ,65 ,46 ,63 ,25 ,61 
OTERO,ST,63,72 ,62 ,51 ,62 ,22 ,62 
CABALLERO,ST,61,65 ,61 ,41 ,57 ,17 ,62 
PALOMINO,LM,69,90 ,67 ,60 ,70 ,17 ,55 
CANO,CAM,69,78 ,67 ,62 ,68 ,26 ,63 
CÓRDOBA,CDM,68,54 ,58 ,64 ,61 ,67 ,70 
VARELA,LM,68,91 ,56 ,59 ,73 ,33 ,44 
CHARÁ,CDM,68,56 ,57 ,60 ,66 ,66 ,63 
MURILLO,CAM,67,66 ,57 ,64 ,69 ,30 ,62 
DÍAZ,RM,66,84 ,59 ,57 ,67 ,32 ,65 
MEZÚ,LM,66,83 ,48 ,62 ,69 ,52 ,59 
SINISTERRA,LM,65,80 ,58 ,57 ,68 ,24 ,48 
ORTIZ,CDM,65,67 ,54 ,57 ,63 ,60 ,68 
RODRÍGUEZ,CDM,63,53 ,37 ,52 ,53 ,65 ,71 
LONDOÑO,RM,61,62 ,50 ,62 ,59 ,37 ,50 
MOSQUERA,CB,70,49 ,41 ,41 ,44 ,70 ,74 
BALOY,CB,70,39 ,42 ,50 ,48 ,68 ,74 
VIÁFARA,RB,68,83 ,52 ,57 ,67 ,61 ,55 
RODRÍGUEZ,LB,67,75 ,40 ,53 ,66 ,66 ,65 
MOSQUERA,LB,67,71 ,62 ,64 ,61 ,63 ,64 
MENA,CB,66,34 ,30 ,44 ,45 ,65 ,76 
CEBALLOS,CB,65,38 ,29 ,42 ,37 ,68 ,62 
ZEA,RB,65,69 ,33 ,53 ,62 ,66 ,50 
MEZA,CB,65,62 ,29 ,36 ,42 ,64 ,71 
CHEN,CB,65,55 ,35 ,43 ,51 ,65 ,68 
VALENCIA,CB,64,48 ,25 ,34 ,41 ,64 ,62 
ANGULO,LB,56,90 ,31 ,41 ,53 ,49 ,54 
HERNÁNDEZ,GK,71,73 ,69 ,74 ,72 ,57 ,69 
TORRESAGASTI,GK,67,64 ,75 ,66 ,59 ,16 ,75 
PIEDRAHITA,GK,62,63 ,61 ,59 ,64 ,42 ,61 
VALENCIA,GK,58,64 ,55 ,60 ,59 ,52 ,54 
