UCHEBO,ST,68,58 ,64 ,58 ,64 ,33 ,84 
MEDIĆ,ST,67,68 ,67 ,45 ,63 ,24 ,68 
BULOS,ST,67,66 ,66 ,47 ,60 ,27 ,73 
SCHEMBRI,ST,67,69 ,64 ,66 ,65 ,24 ,66 
ERIVELTO,ST,65,66 ,66 ,45 ,64 ,22 ,62 
IDÉ,ST,65,48 ,67 ,45 ,53 ,29 ,79 
MEDEIROS,RW,83,84 ,78 ,80 ,86 ,34 ,67 
MEDEIROS,RM,77,82 ,72 ,71 ,81 ,29 ,61 
ESPINHO,CAM,75,71 ,71 ,74 ,77 ,44 ,60 
IDRIS,CDM,73,54 ,51 ,60 ,59 ,71 ,87 
CARVALHO,LM,73,69 ,65 ,68 ,75 ,61 ,73 
SANTOS,RM,72,78 ,64 ,64 ,76 ,30 ,57 
TENGARRINHA,CDM,71,59 ,46 ,61 ,60 ,71 ,69 
SAMU,LM,69,77 ,53 ,60 ,76 ,42 ,53 
MAKHMUDOV,CDM,67,65 ,54 ,66 ,66 ,64 ,60 
MAKHMUDOV,CDM,67,65 ,54 ,66 ,66 ,64 ,60 
CARRAÇA,CM,67,70 ,59 ,67 ,66 ,57 ,71 
BUKIA,CAM,65,77 ,61 ,57 ,70 ,29 ,51 
DAF,CM,63,62 ,56 ,59 ,65 ,57 ,67 
DIGAS,RM,63,66 ,65 ,54 ,67 ,29 ,55 
CORREIA,LB,74,85 ,43 ,62 ,72 ,68 ,57 
MESQUITA,RB,73,71 ,42 ,49 ,67 ,73 ,77 
HENRIQUE,CB,71,53 ,39 ,47 ,56 ,72 ,69 
SAMPAIO,CB,70,40 ,32 ,40 ,39 ,70 ,75 
MACHADO,RB,69,68 ,43 ,42 ,62 ,71 ,62 
TALOCHA,LB,67,69 ,34 ,48 ,65 ,66 ,69 
TAGLIAPIETRA,CB,67,55 ,27 ,36 ,41 ,66 ,78 
SANTOS,CB,67,34 ,33 ,35 ,37 ,66 ,81 
VAGNER,GK,72,73 ,73 ,66 ,71 ,39 ,73 
MEIRA,GK,66,67 ,66 ,59 ,63 ,32 ,69 
BA,GK,64,65 ,60 ,65 ,70 ,41 ,61 
