AGRA,RW,76,92 ,71 ,67 ,80 ,35 ,61 
ZEQUINHA,LW,70,78 ,69 ,64 ,73 ,36 ,61 
RONIEL,RW,70,87 ,69 ,56 ,75 ,29 ,64 
ARISTEGUIETA,ST,69,54 ,69 ,52 ,63 ,40 ,79 
GOMES,LW,69,75 ,67 ,61 ,72 ,28 ,78 
WITI,LW,66,87 ,60 ,57 ,67 ,32 ,46 
CÁDIZ,ST,64,58 ,63 ,41 ,61 ,29 ,58 
GHAZAL,CDM,76,64 ,35 ,61 ,66 ,76 ,84 
RODRIGUES,CM,75,66 ,71 ,78 ,73 ,55 ,64 
GONÇALVES,CDM,70,54 ,66 ,68 ,69 ,63 ,74 
WILLYAN,CAM,69,80 ,60 ,62 ,76 ,43 ,52 
WASHINGTON,CM,68,70 ,50 ,65 ,63 ,67 ,73 
GONÇALVES,CM,67,67 ,63 ,63 ,68 ,49 ,58 
JOTA,CM,67,73 ,54 ,65 ,70 ,50 ,62 
GARCÍA,RB,76,83 ,37 ,60 ,77 ,72 ,71 
FIGUEIREDO,CB,74,59 ,31 ,49 ,56 ,73 ,78 
MARTINS,CB,71,60 ,40 ,45 ,57 ,72 ,72 
CORREIA,CB,71,60 ,32 ,41 ,48 ,72 ,71 
SEQUEIRA,LB,69,71 ,55 ,55 ,63 ,69 ,70 
GARCÍA,RB,68,77 ,35 ,52 ,59 ,66 ,64 
CAMPOS,RB,65,70 ,35 ,49 ,59 ,66 ,62 
COELHO,CB,63,64 ,31 ,36 ,36 ,64 ,66 
CERQUEIRA,LB,58,59 ,30 ,33 ,57 ,64 ,66 
SILVA,GK,73,74 ,70 ,67 ,78 ,35 ,72 
FACCHINI,GK,71,72 ,68 ,62 ,74 ,36 ,70 
SILVA,GK,68,70 ,64 ,63 ,72 ,31 ,67 
