SPALVIS,ST,73,69 ,72 ,54 ,69 ,29 ,70 
CAMARÁ,ST,69,72 ,70 ,60 ,67 ,20 ,73 
CAEIRO,ST,68,39 ,69 ,44 ,57 ,27 ,71 
BETINHO,ST,67,71 ,67 ,46 ,66 ,22 ,58 
ANDRIĆ,ST,67,59 ,67 ,47 ,64 ,22 ,64 
ROSA,LM,76,66 ,73 ,76 ,78 ,41 ,66 
PALHINHA,CDM,74,60 ,51 ,61 ,63 ,74 ,82 
STURGEON,RM,74,78 ,67 ,67 ,77 ,38 ,71 
GERSO,LM,74,93 ,67 ,62 ,79 ,21 ,43 
GOMES,CM,73,61 ,62 ,73 ,71 ,67 ,76 
SOUSA,CM,72,60 ,63 ,70 ,70 ,66 ,73 
ROSELL,CDM,71,58 ,58 ,68 ,69 ,65 ,69 
YEBDA,CDM,70,34 ,61 ,67 ,65 ,67 ,72 
SILVA,CM,69,64 ,63 ,69 ,66 ,55 ,71 
LLORENTE,CM,66,61 ,59 ,68 ,63 ,44 ,57 
PERSSON,CM,65,50 ,56 ,61 ,54 ,61 ,83 
BRANDÃO,CB,73,51 ,41 ,56 ,56 ,74 ,67 
DIOGO,RB,71,77 ,52 ,62 ,69 ,67 ,67 
PALMEIRA,CB,71,67 ,43 ,56 ,60 ,70 ,76 
HANIN,LB,69,84 ,24 ,62 ,66 ,66 ,66 
PINTO,LB,69,73 ,34 ,52 ,71 ,66 ,62 
DUARTE,CB,68,56 ,31 ,38 ,40 ,70 ,69 
SILVA,CB,68,63 ,33 ,41 ,44 ,70 ,69 
NUNES,LB,68,74 ,60 ,66 ,70 ,63 ,62 
IÉ,CB,68,79 ,45 ,53 ,52 ,68 ,71 
TAVARES,RB,61,72 ,36 ,47 ,61 ,60 ,57 
VENTURA,GK,72,71 ,67 ,71 ,75 ,44 ,67 
VELOSO,GK,63,61 ,61 ,61 ,65 ,46 ,61 
PEREIRA,GK,57,63 ,54 ,57 ,55 ,43 ,53 
