VUKČEVIĆ,RW,72,70 ,77 ,71 ,74 ,35 ,70 
BRAGA,LW,71,68 ,72 ,70 ,73 ,37 ,70 
MARTINS,LW,70,75 ,68 ,65 ,75 ,41 ,64 
LOPES,ST,69,60 ,71 ,46 ,60 ,25 ,75 
SOUZA,ST,69,69 ,66 ,60 ,70 ,21 ,60 
WILLIAM,ST,67,67 ,67 ,54 ,66 ,22 ,66 
PERDIGÃO,RW,67,74 ,65 ,59 ,72 ,26 ,57 
MÁRIO,LW,64,78 ,64 ,51 ,67 ,32 ,70 
FALL,ST,63,63 ,64 ,44 ,59 ,29 ,62 
ELHOUNI,RW,61,75 ,56 ,53 ,65 ,26 ,54 
ALBERTO,CDM,72,53 ,63 ,66 ,67 ,71 ,78 
BATTAGLIA,CM,70,65 ,65 ,64 ,69 ,61 ,73 
TIBA,CM,70,67 ,64 ,68 ,66 ,64 ,76 
ASSIS,CDM,65,68 ,40 ,56 ,60 ,63 ,61 
PATRÃO,CM,64,68 ,49 ,63 ,63 ,54 ,59 
COELHO,CB,71,36 ,50 ,63 ,55 ,70 ,76 
FELIPE,CB,70,51 ,44 ,56 ,58 ,71 ,59 
PAULINHO,RB,70,83 ,39 ,56 ,70 ,66 ,65 
FREIRE,CB,68,47 ,36 ,46 ,44 ,70 ,71 
QUEIRÓS,RB,68,69 ,46 ,60 ,63 ,67 ,70 
PETROVIC,LB,68,78 ,57 ,66 ,69 ,64 ,55 
LENHO,LB,66,66 ,46 ,58 ,59 ,65 ,73 
SANTOS,CB,66,60 ,33 ,52 ,54 ,65 ,68 
MATHAUS,CB,59,59 ,29 ,39 ,45 ,60 ,58 
RICARDO,GK,74,75 ,74 ,62 ,74 ,36 ,76 
FILIPE,GK,66,67 ,69 ,62 ,63 ,36 ,67 
NOVO,GK,62,62 ,62 ,55 ,67 ,15 ,59 
