HENRIQUE,ST,76,71 ,77 ,63 ,75 ,28 ,77 
CLARO,ST,73,75 ,72 ,63 ,73 ,32 ,64 
LICÁ,RW,70,75 ,66 ,67 ,71 ,40 ,68 
DIEGUINHO,RW,67,76 ,60 ,54 ,75 ,34 ,48 
BAZELYUK,ST,65,64 ,66 ,48 ,50 ,32 ,63 
GOMES,ST,65,75 ,69 ,51 ,57 ,21 ,52 
FARIAS,LW,63,76 ,44 ,58 ,72 ,38 ,49 
ÍNDIO,LW,62,69 ,45 ,66 ,68 ,40 ,52 
OLIVEIRA,CAM,75,69 ,68 ,72 ,76 ,50 ,66 
AMADO,CM,74,67 ,59 ,72 ,72 ,68 ,67 
SEBAIHI,CAM,69,76 ,61 ,71 ,69 ,48 ,58 
TAIRA,CM,68,67 ,50 ,64 ,65 ,64 ,68 
BALTAZAR,CDM,63,62 ,47 ,55 ,58 ,62 ,68 
BRANDÃO,CB,73,51 ,41 ,56 ,56 ,74 ,67 
MANO,LB,72,79 ,48 ,61 ,71 ,68 ,64 
AFONSO,CB,71,54 ,31 ,40 ,52 ,71 ,76 
DIAKHITÉ,CB,71,50 ,40 ,50 ,53 ,70 ,78 
DANKLER,CB,68,41 ,36 ,47 ,42 ,67 ,70 
