CRISLAN,ST,72,78 ,69 ,57 ,73 ,31 ,73 
MORENO,ST,70,69 ,68 ,56 ,67 ,36 ,74 
WAGNER,RW,69,82 ,66 ,62 ,70 ,30 ,59 
PIOJO,LW,67,72 ,68 ,55 ,70 ,33 ,69 
MURILLO,LW,67,92 ,66 ,47 ,75 ,21 ,46 
CARDOSO,RW,65,67 ,60 ,62 ,70 ,35 ,51 
FERREIRA,CM,69,57 ,67 ,64 ,67 ,63 ,75 
TAVARES,CM,68,65 ,48 ,63 ,65 ,64 ,72 
RUCA,LM,67,70 ,66 ,65 ,64 ,62 ,78 
MONTEIRO,CM,65,60 ,57 ,63 ,67 ,50 ,60 
GONÇALVES,CDM,65,71 ,39 ,57 ,63 ,64 ,67 
JAQUITÉ,CDM,63,66 ,38 ,55 ,56 ,61 ,61 
JAÍLSON,RB,70,78 ,33 ,52 ,71 ,64 ,56 
KAKÁ,CB,68,41 ,35 ,49 ,44 ,70 ,67 
LYSTSOV,CB,68,51 ,33 ,48 ,58 ,66 ,73 
PICA,CB,68,43 ,35 ,38 ,53 ,68 ,70 
NUNES,LB,68,74 ,60 ,66 ,70 ,63 ,62 
TAMBÉ,RB,67,75 ,39 ,55 ,62 ,65 ,69 
AMORIM,CB,66,36 ,32 ,38 ,40 ,67 ,72 
RAMOS,GK,68,67 ,64 ,64 ,67 ,30 ,71 
BATISTA,GK,63,64 ,57 ,67 ,67 ,40 ,58 
