MAREGA,ST,76,86 ,77 ,61 ,61 ,35 ,88 
MARTINS,ST,76,74 ,77 ,58 ,68 ,29 ,78 
HERNÂNI,RM,74,91 ,74 ,73 ,82 ,25 ,65 
HERNÂNI,RW,74,90 ,62 ,68 ,79 ,22 ,60 
MAREGA,ST,73,85 ,71 ,57 ,61 ,33 ,85 
SOARES,ST,71,72 ,69 ,51 ,65 ,25 ,76 
ALEX,LM,75,78 ,69 ,73 ,77 ,32 ,54 
STURGEON,RM,74,78 ,67 ,67 ,77 ,38 ,71 
CELIS,CDM,73,74 ,48 ,64 ,68 ,68 ,80 
TOZÉ,CAM,73,74 ,72 ,75 ,75 ,38 ,54 
MENSAH,CAM,72,76 ,68 ,69 ,75 ,52 ,66 
HURTADO,RM,72,84 ,69 ,64 ,75 ,51 ,60 
VIGÁRIO,RM,67,74 ,65 ,59 ,71 ,23 ,64 
BOYD,RM,67,87 ,58 ,51 ,70 ,18 ,58 
PEDRO,CM,65,69 ,67 ,64 ,64 ,64 ,68 
MBEMBA,CM,62,69 ,59 ,59 ,65 ,50 ,62 
FERREIRA,LB,76,72 ,59 ,74 ,73 ,71 ,72 
AURÉLIO,RB,75,72 ,63 ,73 ,75 ,72 ,76 
JOSUÉ,CB,73,75 ,36 ,50 ,62 ,71 ,73 
GOUANO,CB,71,67 ,25 ,48 ,45 ,71 ,75 
HENRIQUE,CB,71,49 ,42 ,43 ,51 ,70 ,78 
MORENO,CB,69,49 ,56 ,56 ,51 ,68 ,64 
DOUGLAS,GK,74,75 ,71 ,73 ,75 ,33 ,76 
GEORGEMY,GK,64,70 ,61 ,60 ,66 ,42 ,58 
