BUENO,CAM,76,67 ,76 ,70 ,79 ,40 ,52 
SAMPER,CDM,74,48 ,46 ,74 ,67 ,66 ,66 
KRHIN,CDM,74,48 ,55 ,69 ,64 ,70 ,72 
BARRAL,ST,73,60 ,72 ,57 ,72 ,42 ,71 
CUENCA,RW,73,78 ,64 ,66 ,83 ,28 ,49 
PEREIRA,CAM,72,74 ,65 ,71 ,75 ,37 ,51 
PONCE,ST,72,78 ,72 ,54 ,72 ,28 ,54 
TORAL,CAM,71,63 ,66 ,70 ,69 ,45 ,62 
ANGBAN,CDM,70,64 ,50 ,67 ,72 ,62 ,73 
BOGA,ST,69,75 ,70 ,65 ,71 ,41 ,60 
ABOAGYE,CAM,68,79 ,55 ,66 ,72 ,36 ,44 
CARCELA-GONZALEZ,LM,78,85 ,72 ,73 ,84 ,33 ,53 
MÁRQUEZ,CM,74,52 ,70 ,78 ,72 ,62 ,64 
SILVA,LM,73,75 ,66 ,72 ,72 ,67 ,69 
VEZO,CB,77,66 ,49 ,59 ,56 ,78 ,75 
TABANOU,LB,77,76 ,71 ,77 ,75 ,74 ,73 
TITO,RB,76,73 ,45 ,65 ,70 ,74 ,71 
LOMBÁN,CB,75,36 ,59 ,64 ,57 ,75 ,79 
SILVA,LB,72,67 ,44 ,62 ,64 ,73 ,72 
SAUNIER,CB,72,52 ,36 ,53 ,56 ,72 ,70 
FOULQUIER,RB,71,74 ,52 ,63 ,73 ,69 ,73 
MARTINS,LB,69,72 ,60 ,67 ,70 ,67 ,62 
MARREH,CB,64,43 ,31 ,47 ,48 ,62 ,68 
OCHOA,GK,80,79 ,69 ,77 ,87 ,87 ,79 
KELAVA,GK,71,69 ,75 ,60 ,74 ,50 ,70 
OIER,GK,70,70 ,66 ,76 ,65 ,45 ,75 
