CAMACHO,CDM,81,61 ,60 ,71 ,69 ,80 ,81 
CHARLES,ST,78,65 ,79 ,55 ,79 ,34 ,69 
CASTRO,LW,75,73 ,69 ,69 ,81 ,37 ,58 
SANDRO,ST,74,78 ,73 ,61 ,77 ,27 ,66 
ZALAZAR,RW,63,63 ,61 ,62 ,67 ,20 ,45 
KEKO,RM,80,80 ,69 ,78 ,81 ,43 ,65 
JONY,LM,78,85 ,72 ,76 ,76 ,46 ,65 
RECIO,CM,78,56 ,66 ,74 ,73 ,71 ,74 
KUZMANOVIĆ,CM,76,52 ,69 ,74 ,69 ,70 ,74 
FORNALS,CM,76,62 ,61 ,74 ,70 ,64 ,62 
AÑOR,RM,76,71 ,73 ,74 ,79 ,40 ,45 
JUANKAR,LM,72,79 ,62 ,67 ,74 ,67 ,66 
DUDA,CAM,72,33 ,74 ,81 ,71 ,55 ,53 
ONTIVEROS,LM,66,66 ,58 ,64 ,73 ,25 ,34 
WELIGTON,CB,79,51 ,38 ,52 ,54 ,81 ,76 
LLORENTE,CB,78,62 ,40 ,61 ,59 ,79 ,73 
ROSALES,RB,77,78 ,59 ,71 ,79 ,71 ,71 
KONÉ,CB,76,62 ,41 ,50 ,50 ,76 ,75 
TORRES,LB,75,60 ,36 ,64 ,63 ,78 ,75 
RICCA,LB,75,73 ,34 ,59 ,59 ,74 ,70 
VILLANUEVA,CB,69,45 ,38 ,47 ,43 ,68 ,74 
KAMENI,GK,80,82 ,82 ,74 ,82 ,44 ,76 
BOYKO,GK,78,83 ,69 ,68 ,84 ,49 ,74 
AARÓN,GK,62,58 ,64 ,51 ,63 ,41 ,59 
