CASTRO,ST,81,78 ,80 ,65 ,83 ,23 ,64 
SANABRIA,ST,78,77 ,75 ,66 ,81 ,25 ,66 
MUSONDA,LW,77,88 ,65 ,70 ,83 ,23 ,47 
ZOZULYA,ST,76,80 ,71 ,57 ,70 ,37 ,77 
ALEGRÍA,ST,72,56 ,71 ,48 ,66 ,27 ,69 
JUANMA,CF,63,72 ,55 ,63 ,65 ,23 ,44 
JOAQUÍN,RM,78,70 ,72 ,82 ,82 ,38 ,51 
PETROS,CDM,78,73 ,61 ,68 ,76 ,76 ,76 
CEBALLOS,CAM,77,67 ,59 ,74 ,81 ,49 ,57 
PARDO,CM,77,67 ,62 ,79 ,76 ,58 ,59 
MARTIN,CM,76,73 ,71 ,76 ,73 ,67 ,74 
CEJUDO,RM,76,77 ,67 ,70 ,80 ,50 ,72 
GUTIÉRREZ,CM,75,68 ,68 ,74 ,75 ,60 ,62 
LEIVA,RM,74,72 ,65 ,72 ,79 ,24 ,54 
DONK,CDM,73,69 ,62 ,65 ,67 ,75 ,81 
FABIÁN,CAM,71,54 ,65 ,71 ,69 ,56 ,44 
HOZ,CDM,65,60 ,35 ,55 ,51 ,63 ,70 
PICCINI,RWB,81,80 ,46 ,72 ,80 ,81 ,80 
BRUNO,CB,79,43 ,33 ,48 ,46 ,79 ,84 
MANDI,CB,78,68 ,46 ,73 ,69 ,77 ,73 
PEZZELLA,CB,77,54 ,51 ,46 ,53 ,78 ,75 
PICCINI,RB,76,78 ,36 ,64 ,73 ,76 ,75 
MARTÍNEZ,LB,73,77 ,56 ,67 ,69 ,71 ,66 
DURMISI,LB,69,85 ,62 ,69 ,73 ,60 ,75 
ADÁN,GK,80,77 ,85 ,78 ,78 ,55 ,80 
GIMÉNEZ,GK,70,71 ,65 ,65 ,76 ,61 ,65 
HERRERA,GK,70,69 ,71 ,68 ,67 ,41 ,71 
