ESCALANTE,CDM,78,66 ,61 ,68 ,69 ,76 ,76 
ENRICH,ST,77,61 ,73 ,64 ,71 ,34 ,69 
GARCÍA,CDM,77,46 ,55 ,71 ,68 ,68 ,77 
GONZÁLEZ,CAM,75,62 ,68 ,75 ,75 ,64 ,66 
RICO,CDM,75,57 ,65 ,77 ,70 ,67 ,68 
PEÑA,RW,74,78 ,73 ,66 ,74 ,57 ,62 
KIKE,ST,73,65 ,71 ,57 ,70 ,28 ,73 
NANO,ST,72,82 ,70 ,57 ,69 ,25 ,58 
LEÓN,RM,77,62 ,74 ,84 ,77 ,39 ,58 
BEBÉ,LM,76,85 ,72 ,70 ,77 ,25 ,75 
INUI,LM,75,78 ,63 ,71 ,84 ,26 ,42 
JOTA,RM,73,68 ,68 ,75 ,77 ,24 ,56 
RIVERA,CM,65,55 ,46 ,66 ,61 ,57 ,62 
RAMIS,CB,82,40 ,70 ,70 ,62 ,82 ,83 
DOS SANTOS,CB,77,64 ,39 ,53 ,52 ,78 ,76 
LEJEUNE,CB,76,50 ,53 ,55 ,53 ,75 ,79 
RAMIS,CB,76,35 ,61 ,65 ,57 ,77 ,79 
CAPA,RB,76,87 ,63 ,67 ,77 ,68 ,79 
JUNCÀ,LB,75,83 ,45 ,64 ,68 ,70 ,71 
GÁLVEZ,CB,75,52 ,37 ,57 ,55 ,75 ,74 
LUNA,LB,73,74 ,61 ,64 ,70 ,69 ,76 
ARBILLA,RB,72,67 ,53 ,66 ,64 ,72 ,77 
RIESGO,GK,74,76 ,78 ,64 ,70 ,54 ,77 
YOEL,GK,72,74 ,71 ,72 ,70 ,60 ,70 
