N'ZONZI,CDM,84,60 ,70 ,77 ,75 ,84 ,89 
IBORRA,CDM,82,54 ,73 ,73 ,69 ,83 ,83 
VÁZQUEZ,CAM,82,65 ,77 ,79 ,84 ,43 ,76 
N'ZONZI,CDM,82,58 ,64 ,71 ,69 ,79 ,87 
GANSO,CAM,81,35 ,76 ,85 ,83 ,45 ,64 
BEN YEDDER,ST,80,83 ,78 ,76 ,84 ,34 ,63 
KIYOTAKE,CAM,79,69 ,72 ,82 ,79 ,27 ,48 
VIETTO,ST,79,76 ,78 ,72 ,85 ,36 ,63 
KRANEVITTER,CDM,77,66 ,46 ,66 ,69 ,76 ,75 
CORREA,CAM,74,74 ,68 ,73 ,75 ,33 ,61 
NASRI,LM,82,78 ,76 ,81 ,84 ,38 ,57 
VITOLO,RM,82,78 ,75 ,79 ,83 ,28 ,71 
KROHN-DEHLI,LM,81,67 ,74 ,84 ,80 ,64 ,67 
SARABIA,LM,78,77 ,69 ,77 ,83 ,30 ,54 
RAMI,CB,82,59 ,54 ,48 ,58 ,82 ,81 
TRÉMOULINAS,LB,81,82 ,64 ,78 ,78 ,77 ,71 
CARRIÇO,CB,81,59 ,53 ,68 ,63 ,81 ,79 
KOLODZIEJCZAK,CB,80,71 ,34 ,64 ,65 ,79 ,84 
MARIANO,RB,79,84 ,64 ,74 ,75 ,73 ,74 
PAREJA,CB,77,46 ,60 ,70 ,60 ,77 ,71 
ESCUDERO,LB,77,76 ,56 ,70 ,71 ,76 ,73 
MERCADO,RB,76,78 ,54 ,62 ,58 ,77 ,82 
SIRIGU,GK,82,83 ,79 ,75 ,83 ,50 ,80 
RICO,GK,80,80 ,80 ,77 ,82 ,50 ,80 
SORIA,GK,73,76 ,67 ,58 ,71 ,49 ,78 
