MESA,CDM,79,78 ,61 ,69 ,74 ,72 ,79 
BOATENG,CAM,79,74 ,73 ,77 ,78 ,66 ,77 
TANA,CAM,76,69 ,68 ,70 ,80 ,18 ,46 
LIVAJA,ST,75,74 ,73 ,52 ,71 ,26 ,74 
ARAUJO,ST,75,75 ,73 ,66 ,77 ,27 ,58 
CASTELLANO,CDM,73,59 ,40 ,65 ,55 ,72 ,73 
HERNÁN,CDM,72,59 ,60 ,67 ,67 ,68 ,75 
ASDRÚBAL,ST,68,71 ,64 ,59 ,74 ,24 ,67 
VIERA,LM,80,76 ,72 ,78 ,84 ,19 ,60 
GÓMEZ,CM,78,53 ,59 ,74 ,71 ,71 ,72 
EL ZHAR,RM,76,75 ,70 ,72 ,82 ,30 ,61 
MOMO,LM,72,62 ,65 ,76 ,72 ,48 ,63 
MONTORO,CM,71,54 ,63 ,68 ,67 ,60 ,71 
TYRONNE,RM,68,64 ,60 ,63 ,74 ,38 ,63 
ARTILES,LM,63,89 ,52 ,54 ,70 ,17 ,36 
LEMOS,CB,80,71 ,34 ,55 ,71 ,81 ,73 
BIGAS,CB,77,73 ,52 ,58 ,54 ,77 ,77 
SIMÓN,RB,76,80 ,46 ,66 ,71 ,70 ,72 
ARTILES,CB,76,42 ,41 ,57 ,52 ,77 ,78 
MACEDO,RB,75,89 ,46 ,62 ,71 ,69 ,77 
GARCÍA,RB,74,58 ,42 ,61 ,58 ,77 ,77 
CASTELLANO,LB,74,77 ,51 ,65 ,69 ,68 ,75 
LOPES,LB,72,73 ,58 ,66 ,71 ,70 ,69 
VARAS,GK,82,84 ,76 ,77 ,85 ,55 ,80 
VARAS,GK,77,80 ,71 ,73 ,81 ,51 ,74 
LIZOAIN,GK,71,71 ,74 ,56 ,72 ,47 ,72 
