TANNANE,RW,75,79 ,75 ,69 ,79 ,36 ,73 
BERIĆ,ST,75,69 ,74 ,67 ,70 ,39 ,76 
ROUX,ST,75,73 ,74 ,70 ,72 ,35 ,67 
SØDERLUND,ST,73,68 ,72 ,55 ,63 ,35 ,77 
JORGINHO,RW,62,77 ,54 ,49 ,66 ,23 ,59 
SAIVET,CAM,82,79 ,80 ,83 ,85 ,68 ,77 
SAIVET,CM,78,77 ,71 ,79 ,80 ,63 ,70 
HAMOUMA,RM,78,79 ,77 ,77 ,79 ,43 ,67 
VERETOUT,CM,76,66 ,73 ,77 ,75 ,65 ,71 
LEMOINE,CM,76,63 ,66 ,74 ,72 ,74 ,76 
DABO,CM,75,79 ,71 ,72 ,75 ,74 ,80 
MONNET-PAQUET,LM,75,84 ,70 ,71 ,74 ,45 ,72 
CLÉMENT,CDM,75,53 ,59 ,68 ,65 ,76 ,73 
CORGNET,CAM,74,69 ,73 ,73 ,74 ,51 ,63 
PAJOT,CM,74,60 ,57 ,70 ,71 ,73 ,68 
SELNÆS,CDM,72,69 ,60 ,73 ,69 ,64 ,73 
BAMBA,LM,66,82 ,66 ,58 ,70 ,37 ,53 
PERRIN,CB,86,74 ,75 ,80 ,78 ,89 ,87 
PERRIN,CB,84,72 ,68 ,73 ,72 ,87 ,84 
PERRIN,CB,84,72 ,68 ,75 ,72 ,88 ,83 
PERRIN,CB,82,70 ,65 ,69 ,67 ,84 ,80 
POGBA,CB,77,67 ,45 ,61 ,54 ,77 ,85 
M'BENGUE,LB,75,74 ,42 ,68 ,68 ,75 ,74 
THÉOPHILE-CATHERINE,RB,74,70 ,50 ,70 ,70 ,74 ,76 
POLOMAT,LB,70,79 ,45 ,60 ,63 ,70 ,73 
MALCUIT,RB,70,83 ,62 ,60 ,72 ,66 ,75 
LACROIX,CB,69,52 ,45 ,59 ,55 ,68 ,79 
LANDINI,RB,58,56 ,51 ,48 ,54 ,59 ,66 
RUFFIER,GK,86,86 ,87 ,80 ,91 ,50 ,85 
RUFFIER,GK,86,85 ,87 ,81 ,90 ,48 ,86 
RUFFIER,GK,85,82 ,83 ,77 ,87 ,45 ,83 
MOULIN,GK,68,70 ,70 ,65 ,67 ,51 ,66 
MAISONNIAL,GK,65,71 ,62 ,62 ,71 ,62 ,61 
