ROLÁN,ST,81,80 ,83 ,77 ,83 ,35 ,70 
MÉNEZ,ST,79,86 ,77 ,70 ,85 ,26 ,58 
ROLÁN,ST,78,78 ,77 ,72 ,80 ,31 ,64 
LABORDE,ST,72,72 ,69 ,61 ,71 ,32 ,74 
THELIN,ST,68,58 ,65 ,62 ,63 ,29 ,78 
LABORDE,ST,66,68 ,65 ,59 ,65 ,32 ,72 
TOULALAN,CDM,83,50 ,50 ,76 ,71 ,79 ,81 
TOULALAN,CDM,80,48 ,49 ,73 ,69 ,76 ,79 
MALCOM,RM,76,83 ,69 ,70 ,79 ,20 ,61 
PLAŠIL,CM,76,51 ,65 ,79 ,75 ,58 ,58 
MAURICE-BELAY,LM,75,81 ,68 ,73 ,74 ,49 ,68 
SANKHARÉ,CDM,75,69 ,63 ,70 ,71 ,72 ,79 
TOURÉ,CAM,75,82 ,69 ,72 ,75 ,44 ,69 
VADA,CM,74,70 ,72 ,80 ,80 ,65 ,72 
MALCOM,CAM,74,83 ,64 ,66 ,79 ,20 ,58 
VADA,CM,73,68 ,62 ,73 ,75 ,62 ,67 
KAMANO,RM,72,90 ,69 ,63 ,76 ,32 ,57 
TRAORÉ,RM,71,71 ,62 ,71 ,74 ,63 ,60 
OUNAS,LM,70,79 ,66 ,66 ,75 ,48 ,58 
OUNAS,LM,70,79 ,66 ,66 ,75 ,48 ,58 
VADA,CM,69,68 ,61 ,69 ,74 ,57 ,62 
ARAMBARRI,CDM,63,61 ,48 ,62 ,61 ,62 ,61 
KAABOUNI,CM,63,71 ,52 ,63 ,64 ,50 ,57 
PALLOIS,CB,81,66 ,60 ,65 ,64 ,82 ,84 
PALLOIS,CB,77,64 ,50 ,61 ,58 ,77 ,82 
SABALY,RB,75,77 ,38 ,63 ,74 ,74 ,68 
SERTIC,CB,74,71 ,74 ,78 ,73 ,73 ,73 
CONTENTO,LB,74,73 ,46 ,66 ,71 ,73 ,68 
POUNDJÉ,LB,73,83 ,34 ,64 ,73 ,70 ,67 
GUILBERT,CB,72,67 ,45 ,61 ,63 ,73 ,69 
PABLO,CB,70,62 ,52 ,47 ,58 ,70 ,72 
LEWCZUK,CB,70,78 ,46 ,61 ,62 ,67 ,82 
GAJIĆ,RB,70,67 ,59 ,65 ,68 ,70 ,68 
PELLENARD,LB,67,70 ,33 ,54 ,62 ,66 ,68 
JOVANOVIC,CB,65,57 ,46 ,52 ,58 ,63 ,69 
CARRASSO,GK,84,83 ,84 ,85 ,86 ,43 ,84 
CARRASSO,GK,81,78 ,79 ,81 ,82 ,38 ,79 
PRIOR,GK,71,73 ,67 ,75 ,74 ,48 ,64 
BERNARDONI,GK,68,70 ,68 ,67 ,71 ,31 ,68 
