MOUKANDJO,ST,78,91 ,76 ,68 ,78 ,29 ,64 
JEANNOT,ST,74,73 ,75 ,59 ,69 ,28 ,62 
WARIS,ST,74,92 ,71 ,63 ,75 ,38 ,66 
MARVEAUX,CAM,76,70 ,71 ,77 ,79 ,52 ,61 
MESLOUB,CAM,75,68 ,68 ,76 ,76 ,47 ,66 
MARVEAUX,CAM,74,70 ,71 ,76 ,76 ,52 ,61 
CAFÚ,CDM,74,66 ,70 ,61 ,69 ,74 ,83 
CABOT,LM,73,90 ,68 ,61 ,79 ,29 ,49 
WAKASO,CDM,73,67 ,50 ,60 ,65 ,72 ,80 
PHILIPPOTEAUX,RM,73,80 ,69 ,66 ,76 ,44 ,54 
BELLUGOU,CDM,72,50 ,45 ,65 ,66 ,73 ,71 
BARTHELMÉ,LM,72,74 ,56 ,70 ,74 ,67 ,62 
FOFANA,LM,70,89 ,64 ,60 ,74 ,20 ,57 
LAUTOA,CB,75,64 ,36 ,51 ,44 ,75 ,79 
ROSE,CB,74,69 ,38 ,57 ,63 ,73 ,76 
PEYBERNÈS,CB,73,56 ,30 ,49 ,50 ,75 ,70 
LE GOFF,LB,73,70 ,60 ,69 ,71 ,71 ,62 
MOREIRA,RB,72,70 ,31 ,68 ,66 ,72 ,63 
TOURÉ,CB,72,72 ,24 ,47 ,46 ,70 ,79 
PAYE,RB,69,84 ,38 ,53 ,56 ,68 ,68 
LECOMTE,GK,79,81 ,74 ,81 ,83 ,44 ,77 
DELECROIX,GK,69,70 ,69 ,70 ,69 ,29 ,68 
