NINGA,ST,74,89 ,82 ,66 ,77 ,30 ,80 
NINGA,ST,74,88 ,75 ,61 ,72 ,27 ,78 
NINGA,ST,73,86 ,73 ,57 ,70 ,20 ,78 
MOUNIÉ,ST,72,73 ,70 ,54 ,65 ,44 ,76 
BÉRIGAUD,ST,71,74 ,73 ,67 ,72 ,47 ,63 
CAMARA,ST,71,65 ,73 ,69 ,72 ,52 ,59 
MOUNIÉ,ST,68,65 ,66 ,50 ,65 ,44 ,71 
BOUDEBOUZ,CAM,84,80 ,84 ,87 ,87 ,38 ,73 
BOUDEBOUZ,CAM,82,78 ,82 ,84 ,84 ,35 ,68 
LASNE,LM,81,70 ,77 ,80 ,81 ,76 ,78 
BOUDEBOUZ,CAM,80,77 ,80 ,82 ,84 ,35 ,65 
BOUDEBOUZ,CAM,79,76 ,76 ,80 ,81 ,32 ,62 
SANSON,CM,78,73 ,71 ,76 ,76 ,72 ,73 
LASNE,RM,75,67 ,70 ,74 ,74 ,71 ,73 
SYLLA,CDM,73,72 ,54 ,63 ,63 ,70 ,86 
MARVEAUX,CDM,72,51 ,53 ,65 ,63 ,72 ,69 
RÉMY,CDM,72,76 ,40 ,61 ,67 ,72 ,85 
SKHIRI,CM,65,62 ,60 ,64 ,66 ,65 ,63 
CHAOUCHE,CM,60,64 ,44 ,63 ,63 ,54 ,58 
HILTON,CB,83,62 ,55 ,75 ,73 ,85 ,81 
HILTON,CB,79,60 ,51 ,68 ,68 ,80 ,76 
CONGRÉ,CB,75,62 ,30 ,64 ,66 ,75 ,76 
ROUSSILLON,LB,74,85 ,62 ,71 ,72 ,70 ,72 
BORRE,RB,71,70 ,62 ,70 ,74 ,69 ,74 
DEPLAGNE,RB,70,61 ,28 ,62 ,47 ,71 ,74 
SAINT-RUF,CB,65,68 ,27 ,49 ,58 ,65 ,68 
MUKIELE,CB,63,66 ,35 ,51 ,43 ,63 ,68 
NDIAYE,LB,62,66 ,60 ,61 ,61 ,61 ,54 
NDIAYE,LB,62,66 ,60 ,61 ,61 ,61 ,54 
GISSI,RB,61,54 ,47 ,58 ,52 ,60 ,72 
JOURDREN,GK,78,80 ,75 ,69 ,80 ,47 ,76 
JOURDREN,GK,75,80 ,70 ,67 ,80 ,47 ,71 
PIONNIER,GK,72,74 ,71 ,72 ,75 ,44 ,74 
LIGALI,GK,69,75 ,68 ,64 ,70 ,46 ,63 
