BALOTELLI,ST,87,82 ,90 ,82 ,88 ,38 ,86 
BALOTELLI,ST,86,81 ,89 ,78 ,86 ,34 ,83 
BALOTELLI,ST,84,79 ,84 ,73 ,82 ,30 ,79 
PLÉA,ST,83,84 ,85 ,78 ,82 ,44 ,80 
BALOTELLI,ST,81,77 ,81 ,69 ,79 ,26 ,75 
BALOTELLI,ST,80,78 ,82 ,70 ,80 ,28 ,76 
BALOTELLI,ST,79,77 ,80 ,68 ,78 ,26 ,74 
PLÉA,ST,79,82 ,79 ,75 ,76 ,41 ,74 
PLÉA,ST,77,79 ,79 ,75 ,76 ,38 ,67 
LE BIHAN,ST,72,70 ,69 ,55 ,70 ,46 ,76 
BOSETTI,ST,70,74 ,71 ,63 ,70 ,36 ,57 
VERCAUTEREN,LW,67,71 ,59 ,65 ,74 ,42 ,48 
CONSTANT,ST,61,74 ,61 ,44 ,60 ,23 ,58 
PUEL,ST,54,59 ,56 ,47 ,53 ,20 ,42 
SERI,CDM,83,80 ,80 ,83 ,84 ,75 ,78 
SERI,CM,80,78 ,71 ,79 ,80 ,70 ,73 
BELHANDA,CAM,80,74 ,75 ,80 ,83 ,56 ,70 
BODMER,CDM,79,44 ,71 ,81 ,75 ,76 ,76 
BELHANDA,CAM,79,71 ,74 ,80 ,82 ,56 ,66 
SERI,CM,79,78 ,71 ,78 ,78 ,70 ,67 
KOZIELLO,CM,79,78 ,66 ,78 ,79 ,75 ,71 
CYPRIEN,CM,78,80 ,74 ,77 ,80 ,73 ,80 
EYSSERIC,CAM,76,74 ,73 ,76 ,77 ,33 ,62 
OBBADI,CM,76,65 ,68 ,77 ,73 ,70 ,65 
WALTER,CM,74,71 ,60 ,75 ,74 ,68 ,70 
CYPRIEN,CM,74,80 ,70 ,70 ,80 ,65 ,72 
WALTER,CM,72,69 ,60 ,70 ,72 ,64 ,66 
CYPRIEN,CM,71,78 ,61 ,65 ,75 ,62 ,69 
LUSAMBA,CAM,69,75 ,57 ,63 ,75 ,57 ,55 
BENRAHMA,RM,68,75 ,68 ,64 ,72 ,32 ,48 
RAFETRANIAINA,CDM,66,75 ,35 ,62 ,58 ,63 ,64 
DANTE,CB,86,60 ,64 ,81 ,75 ,89 ,86 
PEREIRA,RM,84,90 ,72 ,85 ,87 ,83 ,75 
DANTE,CB,84,56 ,60 ,77 ,70 ,86 ,82 
PEREIRA,RB,82,88 ,66 ,80 ,84 ,80 ,72 
DANTE,CB,81,54 ,53 ,69 ,64 ,81 ,76 
DANTE,CB,80,54 ,53 ,67 ,64 ,80 ,75 
BAYSSE,CB,78,65 ,45 ,66 ,63 ,78 ,77 
PEREIRA,RB,78,86 ,60 ,75 ,81 ,76 ,68 
DALBERT,LB,77,90 ,63 ,70 ,79 ,72 ,73 
MARCHAND,CB,77,77 ,38 ,67 ,68 ,76 ,79 
DALBERT,LB,74,88 ,63 ,68 ,74 ,68 ,70 
SOUQUET,RB,71,70 ,46 ,68 ,65 ,70 ,67 
BOSCAGLI,CB,70,70 ,27 ,62 ,66 ,70 ,70 
LLORIS,CB,64,52 ,29 ,41 ,39 ,64 ,66 
CARDINALE,GK,77,78 ,76 ,75 ,79 ,48 ,79 
CARDINALE,GK,75,72 ,76 ,72 ,76 ,41 ,75 
BENÍTEZ,GK,70,70 ,68 ,65 ,72 ,44 ,68 
HASSEN,GK,70,75 ,65 ,64 ,69 ,48 ,70 
POUPLIN,GK,68,68 ,70 ,67 ,70 ,32 ,70 
