CAVANI,ST,91,83 ,94 ,89 ,91 ,60 ,91 
CAVANI,ST,90,82 ,93 ,87 ,90 ,56 ,90 
DI MARÍA,RW,90,90 ,88 ,90 ,92 ,57 ,82 
CAVANI,ST,89,81 ,92 ,82 ,88 ,52 ,87 
DI MARÍA,RW,89,89 ,86 ,89 ,91 ,53 ,78 
CAVANI,ST,88,80 ,89 ,77 ,86 ,48 ,84 
DI MARÍA,RW,88,88 ,84 ,87 ,90 ,50 ,74 
CAVANI,ST,87,78 ,86 ,74 ,81 ,44 ,81 
DI MARÍA,RW,87,87 ,79 ,84 ,87 ,47 ,70 
CAVANI,ST,87,79 ,87 ,74 ,82 ,44 ,82 
CAVANI,ST,86,77 ,84 ,72 ,80 ,42 ,80 
CAVANI,ST,85,76 ,83 ,71 ,79 ,42 ,80 
LUCAS,RW,82,93 ,74 ,75 ,86 ,44 ,62 
JESÉ,LW,80,86 ,75 ,72 ,84 ,24 ,58 
AUGUSTIN,ST,72,81 ,70 ,61 ,73 ,20 ,57 
ONGENDA,LW,69,77 ,57 ,61 ,75 ,40 ,56 
VERRATTI,CM,89,73 ,72 ,91 ,94 ,88 ,80 
VERRATTI,CM,88,72 ,70 ,90 ,93 ,86 ,78 
MATUIDI,CDM,87,79 ,67 ,78 ,76 ,83 ,89 
VERRATTI,CM,87,71 ,65 ,89 ,92 ,83 ,75 
DRAXLER,CAM,86,80 ,83 ,85 ,89 ,38 ,70 
DRAXLER,LW,86,80 ,83 ,85 ,89 ,38 ,70 
PASTORE,CAM,86,76 ,78 ,87 ,88 ,62 ,72 
VERRATTI,CM,86,69 ,60 ,86 ,89 ,80 ,71 
MATUIDI,CDM,86,79 ,67 ,78 ,76 ,83 ,84 
BEN ARFA,ST,85,81 ,85 ,83 ,89 ,43 ,77 
VERRATTI,CM,85,68 ,58 ,83 ,87 ,78 ,68 
PASTORE,CM,85,74 ,77 ,84 ,86 ,58 ,68 
KRYCHOWIAK,CDM,84,70 ,58 ,73 ,67 ,81 ,87 
BEN ARFA,CAM,84,82 ,82 ,79 ,88 ,40 ,74 
BEN ARFA,CAM,84,82 ,82 ,79 ,88 ,40 ,74 
PASTORE,CM,84,74 ,75 ,83 ,86 ,58 ,67 
KRYCHOWIAK,CDM,84,70 ,58 ,73 ,67 ,81 ,87 
DRAXLER,CAM,84,77 ,79 ,80 ,86 ,34 ,64 
BEN ARFA,CAM,83,79 ,81 ,79 ,88 ,40 ,74 
MOTTA,CDM,82,41 ,65 ,77 ,70 ,76 ,82 
KRYCHOWIAK,CDM,82,70 ,57 ,72 ,66 ,80 ,87 
RABIOT,CM,80,71 ,71 ,77 ,78 ,71 ,76 
RABIOT,CM,78,63 ,70 ,75 ,75 ,69 ,75 
GUEDES,CF,77,87 ,76 ,70 ,77 ,35 ,64 
GUEDES,CF,77,87 ,76 ,70 ,77 ,35 ,64 
GUEDES,CF,74,83 ,71 ,70 ,76 ,35 ,61 
LO CELSO,CAM,74,77 ,58 ,76 ,76 ,40 ,63 
HABRAN,RM,68,87 ,60 ,61 ,70 ,43 ,70 
SILVA,CB,90,75 ,64 ,77 ,77 ,92 ,83 
SILVA,CB,89,74 ,57 ,73 ,73 ,90 ,79 
MARQUINHOS,CB,86,77 ,43 ,77 ,78 ,89 ,85 
MARQUINHOS,CB,84,75 ,40 ,73 ,75 ,87 ,81 
KURZAWA,LB,84,81 ,73 ,80 ,81 ,84 ,80 
AURIER,RB,83,85 ,66 ,73 ,77 ,80 ,85 
MARQUINHOS,CB,82,73 ,38 ,67 ,69 ,84 ,76 
KURZAWA,LB,81,79 ,69 ,76 ,77 ,79 ,75 
MAXWELL,LB,79,73 ,71 ,79 ,77 ,76 ,74 
MEUNIER,RB,77,76 ,72 ,73 ,73 ,73 ,84 
KIMPEMBE,CB,73,72 ,31 ,43 ,56 ,75 ,67 
TRAPP,GK,85,86 ,83 ,82 ,88 ,50 ,85 
TRAPP,GK,83,83 ,79 ,79 ,85 ,45 ,80 
AREOLA,GK,81,84 ,80 ,72 ,85 ,54 ,76 
