BIFOUMA,ST,74,93 ,70 ,54 ,75 ,27 ,70 
DIALLO,ST,73,75 ,71 ,71 ,75 ,43 ,69 
CRIVELLI,ST,72,62 ,70 ,60 ,67 ,31 ,80 
CABRAL,RW,70,81 ,68 ,57 ,78 ,37 ,43 
RASPENTINO,ST,70,74 ,67 ,65 ,71 ,20 ,57 
SAINT-MAXIMIN,ST,67,85 ,60 ,62 ,77 ,22 ,47 
KIKABIDZE,RW,59,58 ,54 ,62 ,63 ,48 ,56 
CAHUZAC,CDM,73,55 ,46 ,62 ,55 ,71 ,80 
MOSTEFA,CDM,73,52 ,52 ,62 ,66 ,67 ,81 
NANGIS,LM,72,80 ,65 ,65 ,74 ,21 ,55 
ONIANGUÉ,CM,71,63 ,72 ,65 ,65 ,69 ,79 
NGANDO,CAM,70,70 ,70 ,68 ,73 ,36 ,39 
DANIC,CAM,69,62 ,63 ,68 ,70 ,34 ,61 
BOULAYA,CAM,68,74 ,66 ,65 ,71 ,36 ,54 
HOURI,CM,66,66 ,56 ,68 ,68 ,51 ,54 
COULIBALY,CM,65,76 ,56 ,60 ,66 ,57 ,64 
SQUILLACI,CB,75,36 ,34 ,52 ,56 ,77 ,62 
KAOUTARI,CB,74,67 ,32 ,56 ,56 ,74 ,74 
BENGTSSON,LB,73,77 ,57 ,72 ,71 ,68 ,69 
PEYBERNÈS,CB,73,56 ,30 ,49 ,50 ,75 ,70 
CIONI,RB,72,61 ,30 ,62 ,63 ,73 ,69 
MARANGE,LB,70,53 ,51 ,66 ,62 ,74 ,67 
DJIKU,RB,70,71 ,34 ,54 ,63 ,70 ,73 
SAINT-RUF,CB,65,68 ,27 ,49 ,58 ,65 ,68 
LECA,GK,77,77 ,75 ,68 ,81 ,40 ,76 
CHARRUAU,GK,65,69 ,61 ,58 ,69 ,42 ,65 
VINCENSINI,GK,61,61 ,56 ,55 ,67 ,54 ,60 
