GROSICKI,RM,82,90 ,81 ,80 ,81 ,35 ,64 
GROSICKI,RW,77,88 ,75 ,73 ,76 ,32 ,59 
SIO,ST,76,83 ,76 ,72 ,75 ,22 ,75 
HABIBOU,ST,71,67 ,70 ,59 ,67 ,29 ,72 
ERASMUS,ST,70,78 ,71 ,60 ,70 ,33 ,62 
KALULU,ST,69,90 ,66 ,56 ,75 ,22 ,57 
SAÏD,LW,67,78 ,64 ,58 ,72 ,22 ,45 
NTEP,LM,80,91 ,75 ,74 ,83 ,26 ,73 
GOURCUFF,CAM,78,68 ,70 ,80 ,81 ,54 ,65 
FERNANDES,CDM,76,69 ,56 ,68 ,68 ,74 ,81 
HENRIQUE,RM,76,85 ,71 ,72 ,79 ,26 ,55 
CHANTÔME,CM,76,65 ,66 ,76 ,72 ,72 ,74 
ANDRÉ,CDM,75,69 ,64 ,74 ,73 ,71 ,72 
AMALFITANO,CM,75,69 ,70 ,77 ,76 ,59 ,58 
BRÜLS,LM,70,75 ,63 ,69 ,71 ,36 ,58 
PRCIĆ,CDM,67,65 ,62 ,73 ,72 ,60 ,65 
RIBELIN,CM,67,76 ,65 ,65 ,71 ,60 ,67 
HUNOU,CDM,66,73 ,63 ,70 ,73 ,54 ,64 
MEXER,CB,78,69 ,48 ,59 ,63 ,79 ,77 
BAAL,LB,75,82 ,49 ,66 ,66 ,73 ,74 
ARMAND,CB,75,40 ,56 ,76 ,63 ,76 ,74 
FIGUEIREDO,LB,75,78 ,43 ,62 ,74 ,74 ,65 
DANZÉ,RB,75,68 ,59 ,71 ,70 ,77 ,72 
MENDES,CB,73,66 ,36 ,40 ,60 ,75 ,76 
BENSEBAINI,LB,71,70 ,47 ,60 ,66 ,71 ,75 
LENJANI,LB,70,79 ,64 ,67 ,67 ,66 ,66 
CAVARÉ,RB,70,67 ,40 ,58 ,64 ,72 ,79 
ZEFFANE,RB,69,80 ,61 ,62 ,67 ,64 ,70 
COSTIL,GK,84,86 ,84 ,82 ,87 ,54 ,86 
COSTIL,GK,82,82 ,80 ,78 ,84 ,49 ,82 
NARDI,GK,72,76 ,67 ,63 ,72 ,54 ,64 
M'BOLHI,GK,69,72 ,57 ,61 ,80 ,57 ,65 
GERTMONAS,GK,61,65 ,55 ,55 ,70 ,49 ,55 
