MARTÍNEZ,ST,81,93 ,82 ,74 ,87 ,25 ,81 
MARTÍNEZ,ST,72,90 ,63 ,64 ,82 ,18 ,71 
PETERSON,RW,66,74 ,64 ,62 ,65 ,47 ,65 
ALMIRÓN,CAM,81,91 ,80 ,78 ,80 ,60 ,64 
ALMIRÓN,CAM,75,89 ,68 ,74 ,76 ,57 ,60 
CARMONA,CM,75,76 ,59 ,73 ,72 ,72 ,76 
VILLALBA,RM,74,94 ,70 ,64 ,78 ,33 ,57 
LARENTOWICZ,CDM,70,63 ,63 ,59 ,64 ,68 ,74 
MCCANN,CDM,70,67 ,59 ,65 ,68 ,66 ,76 
ASAD,LM,65,71 ,52 ,64 ,65 ,56 ,60 
HEATH,CDM,57,66 ,50 ,59 ,61 ,47 ,60 
WALKES,CDM,56,63 ,45 ,53 ,51 ,54 ,61 
PIREZ,CB,72,55 ,47 ,49 ,52 ,73 ,74 
MEARS,RB,70,78 ,51 ,66 ,67 ,66 ,75 
GARZA,LB,69,72 ,53 ,62 ,68 ,69 ,67 
LOYD,CB,69,74 ,48 ,57 ,63 ,68 ,70 
PARKHURST,CB,68,63 ,39 ,58 ,58 ,67 ,69 
BLOOM,RB,65,61 ,35 ,53 ,54 ,67 ,70 
AMBROSE,LB,61,77 ,40 ,43 ,52 ,57 ,68 
KANN,GK,64,65 ,61 ,60 ,63 ,42 ,65 
REYNISH,GK,62,62 ,65 ,60 ,58 ,41 ,64 
