NIKOLIĆ,ST,75,74 ,75 ,62 ,69 ,24 ,70 
DE LEEUW,ST,73,60 ,72 ,64 ,68 ,41 ,72 
ACCAM,LW,73,93 ,70 ,62 ,75 ,34 ,64 
GOOSSENS,LW,68,60 ,72 ,71 ,71 ,36 ,56 
SOLIGNAC,ST,65,68 ,60 ,47 ,63 ,29 ,74 
CALISTRI,ST,63,74 ,64 ,48 ,56 ,22 ,57 
MORRELL,ST,57,84 ,52 ,40 ,60 ,19 ,34 
SCHWEINSTEIGER,CM,82,51 ,76 ,82 ,74 ,74 ,73 
MCCARTY,CDM,74,67 ,54 ,68 ,67 ,72 ,73 
JUNINHO,CM,72,72 ,67 ,73 ,71 ,62 ,65 
ALVAREZ,RM,67,77 ,67 ,62 ,69 ,34 ,57 
STEPHENS,CM,67,61 ,57 ,64 ,67 ,51 ,64 
POLSTER,CDM,67,62 ,46 ,58 ,65 ,60 ,79 
COCIŞ,CM,65,71 ,60 ,61 ,65 ,66 ,63 
THIAM,CDM,65,69 ,55 ,58 ,58 ,62 ,78 
LABROCCA,CDM,64,67 ,62 ,65 ,64 ,58 ,65 
FERNANDEZ,CM,54,65 ,40 ,49 ,60 ,39 ,57 
CONNER,CM,50,61 ,36 ,50 ,46 ,39 ,55 
KAPPELHOF,CB,70,71 ,38 ,61 ,65 ,69 ,67 
MEIRA,CB,70,55 ,29 ,53 ,52 ,69 ,73 
RAMOS,RB,67,76 ,34 ,56 ,66 ,66 ,60 
GEHRIG,CB,66,67 ,47 ,56 ,49 ,65 ,69 
CAMPBELL,CB,66,59 ,25 ,49 ,36 ,65 ,74 
VINCENT,LB,65,78 ,45 ,53 ,56 ,62 ,69 
HARRINGTON,LB,65,72 ,56 ,59 ,60 ,61 ,72 
DOODY,LB,56,66 ,32 ,44 ,49 ,56 ,62 
JOHNSON,GK,69,72 ,62 ,60 ,75 ,60 ,64 
LAMPSON,GK,69,70 ,68 ,72 ,70 ,48 ,66 
BAVA,GK,67,62 ,68 ,68 ,67 ,41 ,71 
MCLAIN,GK,58,61 ,55 ,61 ,62 ,43 ,53 
