DOYLE,ST,69,69 ,67 ,62 ,66 ,37 ,69 
LE TOUX,RW,69,72 ,70 ,67 ,69 ,43 ,71 
GORDON,ST,65,43 ,61 ,56 ,58 ,38 ,80 
BADJI,ST,64,78 ,56 ,40 ,62 ,25 ,68 
DOYLE,ST,63,64 ,62 ,48 ,63 ,41 ,62 
CALVERT,ST,52,54 ,48 ,34 ,54 ,23 ,53 
GASHI,LM,75,77 ,75 ,73 ,73 ,55 ,75 
JONES,CAM,72,69 ,69 ,71 ,72 ,71 ,84 
PAPPA,LM,71,72 ,71 ,69 ,76 ,50 ,55 
AZIRA,CDM,70,68 ,58 ,62 ,64 ,66 ,73 
POWERS,CAM,69,68 ,69 ,69 ,66 ,56 ,67 
CRONIN,CDM,67,67 ,61 ,66 ,63 ,61 ,71 
SERNA,RM,66,79 ,64 ,60 ,65 ,34 ,47 
SAEID,CDM,66,73 ,53 ,69 ,70 ,55 ,62 
ADJEI-BOATENG,CM,65,72 ,66 ,55 ,64 ,61 ,77 
HAIRSTON,RM,65,82 ,58 ,58 ,62 ,57 ,59 
PFEFFER,CM,64,69 ,58 ,62 ,68 ,52 ,62 
GATT,RM,64,84 ,58 ,55 ,69 ,50 ,61 
ST. LEDGER,CB,69,67 ,40 ,53 ,58 ,68 ,71 
BURLING,CB,69,32 ,39 ,50 ,46 ,66 ,84 
SJÖBERG,CB,69,55 ,26 ,44 ,38 ,67 ,80 
BURCH,LB,66,69 ,61 ,64 ,62 ,64 ,67 
WILLIAMS,RB,66,66 ,29 ,57 ,58 ,66 ,74 
MILLER,RB,65,81 ,37 ,53 ,59 ,61 ,69 
WATTS,CB,65,65 ,51 ,55 ,58 ,64 ,64 
CASTILLO,RB,61,77 ,25 ,52 ,61 ,55 ,65 
HOWARD,GK,84,85 ,81 ,82 ,84 ,54 ,84 
HOWARD,GK,81,80 ,76 ,77 ,79 ,50 ,78 
MACMATH,GK,67,69 ,61 ,53 ,71 ,51 ,66 
BERNER,GK,57,57 ,60 ,53 ,56 ,42 ,54 
