URRUTI,ST,70,79 ,71 ,54 ,71 ,47 ,58 
AKINDELE,ST,68,86 ,62 ,51 ,66 ,22 ,69 
GETTERSON,ST,64,82 ,62 ,49 ,61 ,29 ,67 
BONNER,ST,60,72 ,55 ,32 ,53 ,24 ,77 
DÍAZ,CAM,77,74 ,67 ,74 ,79 ,42 ,60 
MORALES,CAM,75,68 ,74 ,77 ,73 ,41 ,65 
GRUEZO,CDM,72,70 ,46 ,61 ,66 ,70 ,72 
BARRIOS,RM,71,91 ,65 ,62 ,74 ,35 ,51 
ACOSTA,CDM,69,81 ,54 ,62 ,67 ,65 ,75 
ACOSTA,CDM,68,81 ,54 ,62 ,67 ,65 ,70 
LIZARAZO,CAM,67,83 ,61 ,64 ,70 ,35 ,51 
ULLOA,CDM,67,61 ,57 ,60 ,63 ,64 ,73 
ROSALES,RM,66,61 ,60 ,68 ,68 ,42 ,54 
ORTIZ,CDM,65,67 ,54 ,57 ,63 ,60 ,68 
CRAFT,RM,60,73 ,54 ,55 ,61 ,44 ,65 
PITTER,CAM,60,67 ,56 ,58 ,64 ,35 ,47 
ZIMMERMAN,CB,74,60 ,60 ,57 ,56 ,76 ,84 
ZIMMERMAN,CB,73,59 ,50 ,52 ,51 ,70 ,81 
HEDGES,CB,73,60 ,28 ,51 ,53 ,71 ,81 
HOLLINGSHEAD,RB,70,72 ,62 ,60 ,67 ,69 ,76 
FIGUEROA,LB,70,69 ,60 ,64 ,65 ,69 ,78 
LOYD,CB,69,74 ,48 ,57 ,63 ,68 ,70 
PAPARATTO,CB,69,53 ,42 ,47 ,54 ,68 ,72 
DAVID,CB,68,72 ,43 ,57 ,58 ,65 ,76 
HARRIS,RB,66,74 ,61 ,58 ,64 ,65 ,83 
GUILLEN,CB,61,72 ,27 ,41 ,48 ,58 ,71 
SEITZ,GK,68,69 ,61 ,71 ,68 ,58 ,72 
GONZALEZ,GK,64,66 ,60 ,62 ,67 ,41 ,62 
HERMAN,GK,58,56 ,55 ,58 ,61 ,26 ,60 
