VENEGAS,ST,66,73 ,64 ,62 ,68 ,38 ,69 
MOLINO,CAM,74,81 ,74 ,72 ,80 ,50 ,72 
MOLINO,CAM,72,79 ,67 ,65 ,75 ,46 ,66 
KADRII,LM,68,83 ,65 ,54 ,74 ,55 ,74 
CRONIN,CDM,67,67 ,61 ,66 ,63 ,61 ,71 
IBARRA,LM,67,78 ,62 ,61 ,72 ,31 ,62 
SAEID,CDM,66,73 ,53 ,69 ,70 ,55 ,62 
WARNER,CDM,66,69 ,61 ,64 ,67 ,60 ,70 
GATT,RM,64,84 ,58 ,55 ,69 ,50 ,61 
MARTIN,CAM,56,69 ,47 ,57 ,58 ,41 ,51 
DEMIDOV,CB,72,51 ,55 ,56 ,47 ,72 ,75 
TAYLOR,CB,69,69 ,31 ,56 ,54 ,68 ,76 
BURCH,LB,66,69 ,61 ,64 ,62 ,64 ,67 
THIESSON,RB,61,64 ,52 ,58 ,53 ,60 ,60 
ALVBÅGE,GK,72,65 ,76 ,64 ,65 ,42 ,78 
SHUTTLEWORTH,GK,68,68 ,67 ,66 ,66 ,44 ,68 
MCLAIN,GK,58,61 ,55 ,61 ,62 ,43 ,53 
