VILLA,ST,89,87 ,93 ,83 ,89 ,40 ,79 
VILLA,ST,86,77 ,90 ,80 ,88 ,38 ,75 
VILLA,ST,84,75 ,89 ,76 ,86 ,35 ,72 
VILLA,ST,82,73 ,82 ,72 ,82 ,31 ,68 
MENDOZA,ST,68,90 ,67 ,59 ,72 ,30 ,60 
MCNAMARA,LW,67,66 ,66 ,66 ,67 ,42 ,66 
HARRISON,RW,65,79 ,58 ,62 ,68 ,37 ,62 
TAYLOR,ST,63,73 ,61 ,47 ,63 ,24 ,61 
SHELTON,RW,62,82 ,55 ,49 ,64 ,27 ,73 
PIRLO,CM,83,40 ,67 ,92 ,80 ,50 ,60 
PIRLO,CM,82,39 ,64 ,91 ,76 ,48 ,55 
LAMPARD,CM,78,43 ,79 ,80 ,73 ,58 ,68 
IRAOLA,CM,75,69 ,60 ,73 ,74 ,73 ,78 
MORALEZ,CAM,75,82 ,68 ,74 ,80 ,28 ,51 
DISKERUD,CM,70,67 ,65 ,69 ,69 ,56 ,67 
RING,CM,70,79 ,60 ,67 ,73 ,64 ,72 
BRAVO,CDM,67,60 ,45 ,58 ,60 ,64 ,79 
LOPEZ,CDM,64,78 ,54 ,54 ,60 ,61 ,67 
BALLOUCHY,RM,63,69 ,61 ,61 ,64 ,46 ,53 
STERTZER,CM,61,55 ,61 ,58 ,60 ,48 ,63 
BRANDT,CM,50,61 ,36 ,53 ,50 ,42 ,52 
CHANOT,CB,73,53 ,49 ,46 ,43 ,72 ,81 
CALLENS,CB,73,64 ,33 ,43 ,50 ,74 ,76 
MATARRITA,LB,69,85 ,47 ,61 ,67 ,66 ,63 
MENA,CB,67,76 ,32 ,40 ,49 ,65 ,72 
BRILLANT,CB,67,49 ,33 ,48 ,42 ,67 ,71 
ALLEN,RB,66,69 ,36 ,60 ,65 ,64 ,73 
HERNANDEZ,CB,66,59 ,46 ,49 ,56 ,66 ,71 
WHITE,CB,66,69 ,40 ,47 ,50 ,64 ,73 
MARTÍNEZ,LB,65,73 ,44 ,61 ,59 ,61 ,70 
GOMEZ,RB,60,81 ,40 ,47 ,54 ,54 ,71 
JOHNSON,GK,69,72 ,62 ,60 ,75 ,60 ,64 
SAUNDERS,GK,67,70 ,67 ,68 ,64 ,53 ,65 
JOHANSEN,GK,63,60 ,63 ,65 ,69 ,20 ,61 
RAWLS,GK,56,58 ,56 ,67 ,58 ,38 ,53 
