WRIGHT-PHILLIPS,ST,75,75 ,75 ,58 ,70 ,30 ,68 
WRIGHT-PHILLIPS,ST,73,73 ,74 ,57 ,70 ,30 ,67 
GRELLA,LW,69,68 ,64 ,60 ,75 ,46 ,70 
DAMARI,ST,69,78 ,68 ,62 ,68 ,27 ,64 
GULBRANDSEN,ST,69,89 ,67 ,54 ,75 ,36 ,70 
ABANG,ST,62,69 ,59 ,40 ,58 ,23 ,67 
JR.,LW,60,84 ,50 ,53 ,64 ,27 ,55 
ALLEN,ST,58,55 ,55 ,35 ,54 ,24 ,68 
MUYL,RW,57,73 ,56 ,48 ,56 ,33 ,67 
KLJESTAN,CAM,76,66 ,69 ,78 ,73 ,63 ,74 
KLJESTAN,CAM,74,66 ,69 ,74 ,72 ,63 ,74 
MCCARTY,CDM,74,67 ,54 ,68 ,67 ,72 ,73 
KLJESTAN,CAM,74,66 ,69 ,74 ,72 ,63 ,79 
VERÓN,LM,73,91 ,64 ,65 ,75 ,35 ,61 
ROYER,LM,71,85 ,61 ,64 ,74 ,40 ,68 
FELIPE,CM,70,72 ,60 ,69 ,69 ,60 ,67 
WRIGHT-PHILLIPS,LM,68,76 ,67 ,65 ,69 ,32 ,42 
DAVIS,CAM,64,68 ,55 ,65 ,64 ,36 ,65 
PERRINELLE,CB,70,55 ,45 ,54 ,50 ,68 ,74 
COLLIN,CB,70,59 ,46 ,53 ,50 ,68 ,80 
LAWRENCE,LB,69,87 ,44 ,53 ,66 ,66 ,68 
ZUBAR,CB,68,60 ,47 ,56 ,62 ,65 ,75 
BAAH,CB,67,79 ,35 ,34 ,47 ,66 ,79 
LADE,RB,65,77 ,40 ,57 ,62 ,62 ,63 
ZIZZO,RB,65,77 ,59 ,60 ,65 ,62 ,67 
DUVALL,RB,65,76 ,35 ,55 ,65 ,64 ,65 
BILYEU,LB,58,75 ,37 ,46 ,36 ,55 ,73 
ADAMS,RB,55,74 ,27 ,41 ,55 ,52 ,57 
ROBLES,GK,73,70 ,69 ,68 ,77 ,51 ,72 
MEARA,GK,65,64 ,62 ,62 ,67 ,47 ,66 
REYNISH,GK,62,62 ,65 ,60 ,58 ,41 ,64 
