MELANO,RW,72,89 ,69 ,64 ,72 ,30 ,72 
ADI,ST,72,73 ,66 ,42 ,63 ,24 ,81 
MCINERNEY,ST,68,69 ,69 ,56 ,68 ,40 ,65 
MATTOCKS,ST,66,90 ,64 ,51 ,66 ,22 ,66 
SEATON,ST,59,73 ,55 ,42 ,61 ,18 ,59 
POLK,ST,57,78 ,57 ,36 ,55 ,18 ,60 
BRETT,RW,55,78 ,54 ,46 ,54 ,21 ,51 
VALERI,CAM,79,68 ,74 ,79 ,76 ,36 ,63 
NAGBE,RM,75,87 ,64 ,69 ,80 ,44 ,69 
BLANCO,LM,75,76 ,73 ,71 ,77 ,28 ,56 
CHARÁ,CDM,71,74 ,60 ,63 ,70 ,65 ,75 
ASPRILLA,RM,67,77 ,68 ,59 ,71 ,28 ,67 
JEWSBURY,CDM,66,68 ,61 ,67 ,64 ,63 ,71 
GRABAVOY,CM,66,60 ,59 ,64 ,64 ,56 ,65 
ZEMANSKI,CDM,66,61 ,57 ,63 ,64 ,63 ,72 
OKUGO,CDM,65,76 ,57 ,56 ,62 ,63 ,74 
BESLER,CM,57,67 ,41 ,54 ,57 ,50 ,64 
TAYLOR,CB,74,53 ,34 ,54 ,47 ,73 ,76 
RIDGEWELL,CB,71,71 ,46 ,60 ,58 ,70 ,76 
BORCHERS,CB,70,55 ,40 ,50 ,54 ,68 ,75 
POWELL,RB,70,87 ,47 ,56 ,70 ,68 ,75 
TAYLOR,CB,69,69 ,31 ,56 ,54 ,68 ,76 
AROKOYO,CB,68,68 ,32 ,44 ,40 ,69 ,73 
MYERS,RB,67,78 ,58 ,61 ,65 ,65 ,66 
OLUM,CB,67,55 ,49 ,54 ,53 ,64 ,76 
ANDRIUŠKEVIČIUS,LB,67,71 ,41 ,59 ,66 ,66 ,77 
VALENTIN,RB,66,71 ,46 ,59 ,59 ,65 ,70 
KLUTE,LB,65,77 ,33 ,57 ,57 ,63 ,70 
PEAY,CB,62,67 ,24 ,48 ,57 ,58 ,69 
THOMA,LB,55,76 ,29 ,49 ,56 ,52 ,52 
GLEESON,GK,68,68 ,67 ,65 ,69 ,47 ,69 
ATTINELLA,GK,67,70 ,65 ,63 ,67 ,41 ,65 
KONOPKA,GK,65,64 ,60 ,58 ,67 ,30 ,65 
HAMILTON,GK,54,51 ,52 ,57 ,58 ,24 ,51 
