MARTÍNEZ,RW,75,79 ,72 ,67 ,79 ,37 ,62 
MOVSISYAN,ST,74,82 ,76 ,41 ,70 ,35 ,72 
PLATA,LW,74,89 ,69 ,65 ,77 ,31 ,59 
RUSNÁK,LW,73,81 ,69 ,74 ,74 ,34 ,50 
BARRETT,ST,66,66 ,65 ,53 ,60 ,35 ,70 
GARCIA,ST,62,86 ,56 ,50 ,70 ,31 ,60 
WELSHMAN,ST,60,82 ,58 ,50 ,60 ,18 ,61 
BÁEZ,ST,59,60 ,56 ,42 ,61 ,18 ,61 
MORALES,CAM,75,68 ,74 ,77 ,73 ,41 ,65 
BECKERMAN,CDM,73,55 ,63 ,66 ,67 ,70 ,72 
SILVA,CAM,70,72 ,70 ,69 ,66 ,55 ,60 
SUNNY,CDM,69,69 ,55 ,61 ,62 ,62 ,76 
MULHOLLAND,CM,66,69 ,61 ,62 ,64 ,63 ,68 
ALLEN,CAM,62,73 ,52 ,56 ,65 ,54 ,64 
STERTZER,CM,61,55 ,61 ,58 ,60 ,48 ,63 
SAUCEDO,CAM,61,67 ,44 ,60 ,64 ,33 ,38 
ACOSTA,CDM,58,78 ,49 ,55 ,52 ,52 ,69 
HOLNESS,CAM,58,79 ,51 ,58 ,56 ,33 ,61 
MAUND,CB,71,62 ,43 ,51 ,54 ,70 ,75 
OLAVE,CB,70,57 ,45 ,48 ,51 ,68 ,76 
BELTRAN,RB,69,84 ,53 ,56 ,63 ,68 ,68 
PHILLIPS,LB,69,81 ,53 ,58 ,65 ,66 ,64 
HORST,CB,68,46 ,22 ,48 ,39 ,64 ,83 
SCHULER,CB,66,58 ,35 ,43 ,38 ,65 ,74 
GLAD,CB,65,66 ,27 ,49 ,46 ,64 ,67 
WINGERT,LB,64,60 ,47 ,58 ,53 ,63 ,72 
OKWUONU,RB,60,79 ,25 ,45 ,58 ,56 ,60 
KAVITA,CB,57,55 ,25 ,29 ,43 ,57 ,61 
RIMANDO,GK,76,73 ,74 ,74 ,80 ,58 ,74 
ATTINELLA,GK,67,70 ,65 ,63 ,67 ,41 ,65 
FERNÁNDEZ,GK,58,57 ,61 ,58 ,64 ,44 ,49 
