GIOVINCO,CF,86,91 ,85 ,83 ,91 ,32 ,66 
GIOVINCO,ST,85,90 ,83 ,81 ,89 ,30 ,65 
GIOVINCO,CF,83,89 ,79 ,78 ,87 ,26 ,60 
ALTIDORE,ST,75,69 ,74 ,60 ,69 ,35 ,82 
RICKETTS,ST,65,93 ,60 ,47 ,63 ,22 ,64 
HAMILTON,ST,64,82 ,60 ,43 ,55 ,26 ,65 
BABOULI,ST,63,79 ,58 ,60 ,71 ,27 ,68 
BRADLEY,CDM,80,69 ,69 ,78 ,79 ,72 ,83 
VÁZQUEZ,CM,75,50 ,68 ,77 ,73 ,34 ,51 
CHEYROU,CDM,72,42 ,62 ,73 ,72 ,67 ,73 
JOHNSON,CDM,71,78 ,68 ,68 ,68 ,65 ,75 
OSORIO,CM,68,67 ,62 ,67 ,73 ,52 ,58 
DELGADO,CM,67,69 ,52 ,62 ,67 ,60 ,67 
DELGADO,CM,66,69 ,52 ,62 ,67 ,60 ,62 
ENDOH,CAM,65,73 ,52 ,64 ,67 ,42 ,48 
LOVITZ,LM,65,78 ,54 ,58 ,65 ,43 ,61 
COOPER,CAM,64,75 ,53 ,62 ,67 ,52 ,60 
CHAPMAN,CM,63,61 ,54 ,60 ,66 ,46 ,63 
MOOR,CB,71,67 ,40 ,60 ,60 ,69 ,73 
MORROW,LB,70,74 ,55 ,63 ,60 ,68 ,74 
BEITASHOUR,RB,69,79 ,55 ,65 ,66 ,66 ,72 
WILLIAMS,CB,68,69 ,53 ,60 ,62 ,66 ,74 
ZAVALETA,CB,67,69 ,58 ,52 ,59 ,63 ,74 
MORGAN,LB,66,83 ,36 ,58 ,63 ,62 ,64 
HERNANDEZ,CB,66,59 ,46 ,49 ,56 ,66 ,71 
BLOOM,RB,65,61 ,35 ,53 ,54 ,67 ,70 
HAGGLUND,CB,65,55 ,29 ,55 ,53 ,64 ,68 
SIMONIN,CB,61,67 ,25 ,43 ,57 ,61 ,62 
MANNELLA,LB,55,55 ,38 ,52 ,47 ,54 ,57 
IRWIN,GK,69,69 ,68 ,66 ,69 ,48 ,70 
BONO,GK,64,65 ,57 ,68 ,65 ,40 ,66 
ROBERTS,GK,58,64 ,56 ,52 ,61 ,60 ,52 
