IBUSUKI,ST,66,64 ,62 ,44 ,56 ,27 ,66 
YAMAZAKI,ST,64,67 ,66 ,48 ,65 ,17 ,57 
KALIL,ST,64,82 ,61 ,49 ,61 ,24 ,63 
SILVA,LW,63,68 ,61 ,58 ,70 ,29 ,65 
TANAKA,ST,58,42 ,63 ,55 ,68 ,30 ,53 
SUZUKI,ST,54,75 ,53 ,41 ,54 ,15 ,60 
SILVA,CDM,72,57 ,64 ,67 ,71 ,66 ,78 
NOTSUDA,CAM,67,79 ,64 ,57 ,70 ,31 ,60 
KOBAYASHI,CDM,64,61 ,35 ,52 ,48 ,66 ,70 
KATO,LM,60,65 ,47 ,57 ,60 ,40 ,63 
SAKAI,CM,56,71 ,45 ,55 ,55 ,38 ,70 
KOZUKA,CM,55,77 ,48 ,58 ,61 ,36 ,55 
ITO,CM,54,72 ,49 ,54 ,56 ,39 ,55 
NARUOKA,LM,54,43 ,50 ,57 ,57 ,24 ,57 
HAYAMA,CM,53,73 ,43 ,56 ,52 ,34 ,56 
MIYAZAKI,CM,48,84 ,37 ,45 ,49 ,37 ,49 
CORTEZ,LB,72,58 ,62 ,68 ,75 ,70 ,79 
KOIZUMI,RB,64,81 ,32 ,53 ,52 ,62 ,60 
FITZGERALD,CB,64,62 ,41 ,48 ,52 ,64 ,74 
ONO,CB,62,60 ,24 ,38 ,45 ,62 ,65 
HAYAKAWA,CB,60,76 ,23 ,39 ,47 ,60 ,58 
YANO,RB,60,45 ,61 ,58 ,61 ,57 ,73 
MASUDA,CB,58,66 ,23 ,34 ,29 ,57 ,68 
MATSUBARA,RB,57,71 ,27 ,39 ,52 ,57 ,69 
NISHIMURA,CB,53,69 ,24 ,25 ,31 ,50 ,68 
MAENO,LB,52,59 ,27 ,38 ,46 ,49 ,52 
HASEGAWA,RB,52,85 ,23 ,38 ,35 ,46 ,53 
MORITA,GK,65,66 ,65 ,63 ,66 ,27 ,62 
OTANI,GK,65,64 ,68 ,74 ,69 ,43 ,61 
INADA,GK,60,54 ,63 ,65 ,54 ,14 ,61 
KAWANAMI,GK,54,55 ,60 ,53 ,52 ,24 ,49 
KUROKAWA,GK,52,48 ,52 ,60 ,47 ,27 ,54 
OZAWA,GK,50,49 ,49 ,47 ,46 ,22 ,51 
