WELLINGTON,ST,68,62 ,67 ,52 ,58 ,29 ,77 
ISHIZU,ST,63,68 ,67 ,40 ,64 ,18 ,58 
KANAMORI,ST,62,87 ,55 ,51 ,70 ,25 ,63 
HIRAI,ST,61,73 ,58 ,44 ,58 ,22 ,65 
KUNIMOTO,ST,59,78 ,55 ,46 ,63 ,20 ,58 
NAKAHARA,ST,57,53 ,58 ,38 ,46 ,29 ,72 
SAKATA,CF,57,43 ,56 ,52 ,64 ,31 ,65 
JOGO,RM,65,62 ,66 ,60 ,65 ,22 ,73 
SUEYOSHI,CDM,63,63 ,54 ,61 ,57 ,55 ,70 
SUZUKI,CM,62,69 ,63 ,62 ,52 ,44 ,67 
MIKADO,CDM,62,60 ,38 ,52 ,56 ,58 ,66 
DANILSON,CDM,61,60 ,44 ,46 ,56 ,58 ,85 
TAMEDA,LM,59,77 ,38 ,55 ,59 ,25 ,55 
NAKAHARA,CDM,58,72 ,42 ,54 ,60 ,49 ,60 
FURUBE,LM,55,61 ,39 ,53 ,52 ,43 ,71 
IWASHITA,CB,67,48 ,32 ,41 ,42 ,66 ,70 
HUN,CB,62,71 ,24 ,31 ,41 ,59 ,72 
NAKAMURA,RB,62,62 ,47 ,54 ,61 ,59 ,68 
HAMADA,CB,62,69 ,30 ,32 ,38 ,58 ,77 
KOMANO,RB,61,42 ,62 ,64 ,52 ,63 ,63 
KAMEKAWA,LB,60,75 ,27 ,42 ,55 ,55 ,67 
TSUTSUMI,CB,60,63 ,30 ,44 ,50 ,56 ,74 
TAMURA,CB,60,71 ,22 ,27 ,29 ,56 ,78 
SANETO,CB,60,68 ,30 ,34 ,44 ,58 ,67 
MISHIMA,RB,57,80 ,31 ,48 ,61 ,47 ,51 
ABE,LB,55,78 ,34 ,45 ,52 ,47 ,61 
SHIMOSAKA,RB,54,76 ,31 ,43 ,50 ,47 ,59 
TOMIYASU,CB,49,71 ,21 ,30 ,35 ,46 ,58 
YOUNG,GK,66,63 ,66 ,68 ,64 ,38 ,67 
KAMIYAMA,GK,57,59 ,46 ,41 ,59 ,20 ,62 
KANEDA,GK,57,54 ,56 ,49 ,58 ,30 ,59 
