LEANDRO,ST,70,79 ,68 ,62 ,70 ,25 ,71 
KANAZAKI,ST,69,56 ,67 ,68 ,75 ,28 ,60 
AKASAKI,ST,69,64 ,69 ,60 ,66 ,30 ,65 
DOI,ST,68,62 ,68 ,67 ,73 ,42 ,48 
JÚNIOR,ST,66,78 ,66 ,59 ,70 ,31 ,68 
NAKAMURA,LW,65,60 ,62 ,59 ,70 ,28 ,50 
KANAMORI,ST,62,87 ,55 ,51 ,70 ,25 ,63 
SUZUKI,ST,62,71 ,61 ,49 ,60 ,20 ,56 
KAKITA,ST,59,75 ,56 ,37 ,46 ,21 ,70 
SILVA,CDM,72,57 ,64 ,67 ,71 ,66 ,78 
SHIBASAKI,CM,71,63 ,66 ,68 ,72 ,58 ,58 
OGASAWARA,CM,69,35 ,71 ,74 ,72 ,54 ,57 
ENDO,RM,67,55 ,59 ,70 ,67 ,40 ,62 
FABRÍCIO,CAM,67,59 ,64 ,64 ,68 ,35 ,73 
NAGAKI,CDM,65,52 ,54 ,57 ,62 ,64 ,68 
MISAO,CDM,63,72 ,37 ,53 ,58 ,61 ,70 
SUGIMOTO,CAM,57,74 ,37 ,57 ,63 ,34 ,41 
TANAKA,CM,54,82 ,37 ,50 ,54 ,47 ,58 
OHASHI,CDM,53,76 ,37 ,46 ,52 ,47 ,65 
HIRATO,CM,52,77 ,37 ,50 ,52 ,50 ,56 
KUBOTA,CDM,52,77 ,32 ,46 ,56 ,51 ,45 
SHOJI,CB,70,65 ,32 ,48 ,45 ,71 ,73 
HO,CB,70,56 ,23 ,38 ,54 ,69 ,78 
UEDA,CB,69,68 ,26 ,43 ,42 ,71 ,71 
MISAO,CB,66,71 ,42 ,65 ,55 ,64 ,69 
NISHI,RB,66,54 ,42 ,57 ,57 ,66 ,75 
YAMAMOTO,LB,64,46 ,44 ,58 ,58 ,62 ,67 
BUENO,CB,62,72 ,30 ,39 ,41 ,59 ,73 
ITO,RB,62,66 ,30 ,53 ,53 ,59 ,62 
MACHIDA,CB,57,80 ,28 ,39 ,36 ,55 ,64 
TAE,GK,74,74 ,71 ,72 ,73 ,39 ,74 
SOGAHATA,GK,68,69 ,69 ,70 ,74 ,17 ,65 
KUSHIBIKI,GK,61,67 ,59 ,59 ,59 ,29 ,59 
KOIZUMI,GK,58,58 ,59 ,49 ,59 ,23 ,57 
KAWAMATA,GK,57,59 ,52 ,55 ,64 ,35 ,56 
