TANAKA,ST,74,71 ,75 ,69 ,73 ,34 ,71 
OLIVEIRA,ST,68,62 ,63 ,60 ,71 ,34 ,62 
LOPES,ST,66,64 ,62 ,60 ,68 ,34 ,63 
NAKAGAWA,ST,62,89 ,58 ,52 ,74 ,30 ,48 
DUDU,ST,57,75 ,54 ,50 ,62 ,21 ,59 
ITO,RM,72,88 ,63 ,63 ,72 ,57 ,66 
CRISTIANO,LM,72,83 ,72 ,68 ,73 ,37 ,72 
HOSOGAI,CDM,71,71 ,40 ,65 ,72 ,69 ,67 
TAKETOMI,LM,67,66 ,67 ,65 ,68 ,33 ,58 
OTANI,CDM,67,55 ,33 ,57 ,53 ,62 ,63 
OTSU,LM,65,63 ,62 ,65 ,64 ,32 ,66 
AKINO,CDM,64,72 ,46 ,64 ,52 ,59 ,66 
OTA,RM,63,66 ,52 ,62 ,58 ,34 ,59 
BARADA,CM,63,65 ,45 ,59 ,55 ,54 ,67 
KURISAWA,CDM,62,42 ,34 ,52 ,56 ,60 ,53 
KOBAYASHI,CM,61,72 ,55 ,52 ,61 ,47 ,51 
MINEIRO,CAM,61,60 ,58 ,59 ,62 ,54 ,70 
TEZUKA,CM,56,73 ,47 ,51 ,58 ,50 ,56 
ANZAI,CM,56,77 ,44 ,49 ,57 ,38 ,60 
WAKO,LB,69,81 ,37 ,54 ,67 ,64 ,59 
NAKATANI,CB,66,74 ,24 ,29 ,40 ,68 ,69 
MASUSHIMA,CB,65,57 ,22 ,32 ,45 ,66 ,69 
YAMANAKA,LB,64,69 ,31 ,60 ,65 ,57 ,57 
NAKAYAMA,CB,64,76 ,27 ,41 ,56 ,66 ,63 
KAMATA,RB,61,58 ,28 ,36 ,38 ,68 ,61 
YUZAWA,RB,60,70 ,26 ,39 ,54 ,61 ,66 
IMAI,RB,60,64 ,23 ,39 ,51 ,60 ,69 
KOGA,CB,54,73 ,23 ,31 ,33 ,50 ,68 
NAKAMURA,GK,65,74 ,51 ,66 ,74 ,26 ,55 
KIRIHATA,GK,62,54 ,60 ,67 ,54 ,13 ,72 
INADA,GK,60,54 ,63 ,65 ,54 ,14 ,61 
TAKIMOTO,GK,55,57 ,53 ,51 ,57 ,16 ,49 
