IENAGA,ST,69,81 ,64 ,63 ,76 ,34 ,66 
PEČNIK,ST,68,56 ,66 ,69 ,67 ,41 ,80 
MRĐJA,ST,68,46 ,67 ,53 ,63 ,25 ,76 
BANDO,ST,63,33 ,64 ,58 ,64 ,36 ,55 
SHIMIZU,ST,58,69 ,57 ,42 ,49 ,20 ,60 
ESAKA,LW,55,67 ,54 ,52 ,57 ,31 ,57 
FUJINUMA,ST,52,75 ,50 ,37 ,49 ,17 ,50 
KAWATA,ST,50,73 ,50 ,34 ,46 ,19 ,42 
HASEGAWA,CM,68,64 ,56 ,68 ,62 ,51 ,73 
IWAKAMI,CAM,67,62 ,62 ,64 ,68 ,42 ,59 
IZUMISAWA,CAM,64,66 ,58 ,60 ,66 ,41 ,49 
YOKOYAMA,CDM,64,51 ,35 ,49 ,51 ,67 ,72 
BARADA,CM,63,65 ,45 ,59 ,55 ,54 ,67 
MATEUS,LM,62,71 ,49 ,59 ,65 ,44 ,62 
YOKOTANI,CM,61,60 ,51 ,59 ,59 ,46 ,65 
KANAZAWA,CDM,57,45 ,54 ,55 ,61 ,52 ,57 
OYAMA,CM,52,70 ,37 ,50 ,52 ,43 ,50 
KOJIMA,CM,49,75 ,33 ,47 ,46 ,42 ,57 
KIKUCHI,CB,65,58 ,50 ,55 ,52 ,62 ,71 
NUMATA,LB,63,65 ,52 ,54 ,56 ,61 ,57 
WADA,LB,63,64 ,40 ,58 ,60 ,58 ,51 
KOMOTO,CB,62,58 ,35 ,46 ,46 ,61 ,67 
YAMAKOSHI,CB,62,69 ,27 ,40 ,37 ,60 ,68 
WATABE,RB,58,61 ,33 ,41 ,50 ,56 ,57 
OKUI,RB,57,63 ,37 ,48 ,52 ,53 ,50 
FUKUDA,CB,56,54 ,23 ,36 ,35 ,54 ,68 
OYA,LB,54,55 ,49 ,52 ,52 ,48 ,70 
TAKAYAMA,LB,53,72 ,34 ,33 ,45 ,49 ,62 
SHIOTA,GK,65,64 ,61 ,54 ,64 ,24 ,68 
KATO,GK,64,59 ,59 ,62 ,69 ,32 ,64 
MATSUI,GK,58,59 ,57 ,51 ,59 ,25 ,57 
KATO,GK,56,54 ,58 ,53 ,59 ,29 ,58 
