IBARBO,ST,81,94 ,77 ,72 ,86 ,45 ,82 
IBARBO,RW,75,92 ,71 ,66 ,77 ,37 ,78 
EL KABIR,ST,73,73 ,71 ,63 ,72 ,27 ,78 
TOYODA,ST,67,55 ,64 ,45 ,58 ,30 ,71 
GUN,ST,66,83 ,57 ,55 ,61 ,25 ,70 
TOMIYAMA,ST,60,72 ,59 ,41 ,60 ,20 ,60 
HAYASAKA,ST,60,61 ,58 ,55 ,64 ,30 ,59 
IKEDA,CF,59,67 ,57 ,54 ,63 ,16 ,56 
HIRA,ST,52,80 ,51 ,41 ,55 ,19 ,50 
ONO,CAM,68,75 ,60 ,63 ,72 ,27 ,57 
KAMADA,CAM,67,81 ,52 ,62 ,70 ,36 ,64 
WOO,CM,67,67 ,53 ,66 ,68 ,57 ,65 
TAHAR,CDM,66,68 ,62 ,62 ,70 ,63 ,65 
TAKAHASHI,CDM,65,57 ,49 ,56 ,62 ,64 ,64 
HARAKAWA,CM,64,80 ,58 ,59 ,70 ,53 ,60 
DONG,CAM,64,74 ,58 ,62 ,66 ,40 ,54 
MIZUNO,RM,61,57 ,59 ,59 ,63 ,22 ,51 
FUKUTA,CM,61,75 ,45 ,56 ,62 ,53 ,57 
OKADA,RM,61,76 ,54 ,53 ,67 ,24 ,53 
OGAWA,RM,60,51 ,54 ,61 ,64 ,33 ,62 
KEUN,CM,57,73 ,38 ,50 ,57 ,52 ,70 
OKAMOTO,CDM,55,66 ,40 ,50 ,52 ,52 ,61 
NAKAMI,RM,51,77 ,47 ,46 ,49 ,24 ,52 
AOKI,CB,73,50 ,52 ,63 ,60 ,72 ,75 
TANIGUCHI,CB,68,58 ,64 ,63 ,65 ,65 ,71 
HYEOK,CB,64,76 ,26 ,28 ,39 ,64 ,72 
FUJITA,RB,64,66 ,43 ,57 ,66 ,59 ,64 
KOBAYASHI,RB,63,56 ,26 ,44 ,55 ,63 ,68 
YOSHIDA,LB,62,68 ,27 ,52 ,66 ,58 ,62 
MITSUMARU,LB,57,79 ,29 ,41 ,53 ,51 ,58 
KOBAYASHI,CB,56,33 ,25 ,27 ,35 ,57 ,62 
ISOZAKI,LB,55,39 ,28 ,46 ,50 ,62 ,63 
NIWA,RB,53,60 ,27 ,39 ,50 ,54 ,58 
SAKAI,CB,52,71 ,26 ,25 ,30 ,52 ,63 
HAYASHI,GK,63,70 ,59 ,62 ,66 ,42 ,57 
AKAHOSHI,GK,58,56 ,57 ,58 ,65 ,29 ,60 
NIEKAWA,GK,54,58 ,56 ,52 ,49 ,33 ,48 
TSUJI,GK,50,47 ,52 ,52 ,54 ,28 ,50 
