KOROKI,ST,81,72 ,87 ,74 ,83 ,36 ,76 
KOROKI,ST,74,70 ,82 ,70 ,80 ,34 ,73 
KOROKI,ST,73,66 ,75 ,62 ,74 ,29 ,69 
LJUBIJANKIČ,ST,72,70 ,68 ,68 ,70 ,46 ,81 
LEE,ST,70,71 ,70 ,50 ,68 ,34 ,76 
KOMAI,RW,67,77 ,63 ,63 ,68 ,28 ,53 
MUTO,CF,65,73 ,69 ,62 ,67 ,30 ,58 
SILVA,ST,64,73 ,73 ,70 ,80 ,37 ,73 
SILVA,LW,63,68 ,61 ,58 ,70 ,29 ,65 
ISHIHARA,CF,62,62 ,63 ,55 ,61 ,30 ,48 
TAKAGI,LW,61,77 ,61 ,55 ,63 ,26 ,55 
KASHIWAGI,CM,74,71 ,78 ,77 ,80 ,55 ,71 
KASHIWAGI,CM,71,69 ,67 ,70 ,72 ,50 ,65 
ABE,CDM,70,54 ,70 ,72 ,70 ,69 ,67 
SEKINE,RM,69,81 ,52 ,62 ,68 ,27 ,50 
UGAJIN,LM,68,70 ,61 ,66 ,68 ,48 ,65 
UMESAKI,CAM,68,67 ,65 ,66 ,69 ,39 ,55 
KIKUCHI,LM,68,84 ,59 ,60 ,71 ,27 ,63 
AOKI,CDM,66,75 ,53 ,61 ,66 ,61 ,74 
HIRAKAWA,RM,62,33 ,53 ,63 ,70 ,53 ,61 
YAMADA,CM,56,76 ,43 ,48 ,64 ,37 ,63 
ITO,CAM,53,82 ,43 ,47 ,53 ,38 ,55 
MAKINO,CB,74,68 ,34 ,62 ,66 ,72 ,76 
MORIWAKI,CB,70,64 ,45 ,44 ,56 ,72 ,71 
ENDO,CB,70,77 ,45 ,49 ,63 ,69 ,73 
ILIĆ,RB,68,57 ,52 ,64 ,55 ,73 ,74 
NAGATA,CB,66,58 ,44 ,64 ,62 ,64 ,75 
NASU,CB,65,54 ,40 ,44 ,50 ,64 ,68 
OKAMOTO,CB,63,74 ,38 ,41 ,53 ,61 ,71 
KAGA,CB,62,63 ,39 ,37 ,48 ,61 ,72 
TAMURA,CB,60,71 ,22 ,27 ,29 ,56 ,78 
HASHIMOTO,LB,50,59 ,28 ,29 ,45 ,55 ,62 
NISHIKAWA,GK,70,74 ,70 ,76 ,69 ,44 ,69 
OTANI,GK,65,64 ,68 ,74 ,69 ,43 ,61 
IWADATE,GK,61,63 ,65 ,68 ,64 ,21 ,57 
ENOMOTO,GK,58,59 ,58 ,60 ,59 ,29 ,58 
