CRISLAN,ST,72,78 ,69 ,57 ,73 ,31 ,73 
WILSON,ST,68,53 ,68 ,59 ,67 ,46 ,67 
KANAZONO,ST,67,62 ,67 ,41 ,57 ,25 ,67 
LOPES,ST,66,64 ,62 ,60 ,68 ,34 ,63 
HIRAYAMA,ST,62,52 ,58 ,52 ,58 ,40 ,72 
ISHIHARA,CF,62,62 ,63 ,55 ,61 ,30 ,48 
PABLO,ST,62,71 ,64 ,47 ,63 ,23 ,53 
NOZAWA,ST,60,39 ,58 ,67 ,59 ,42 ,63 
NISHIMURA,ST,55,75 ,56 ,35 ,50 ,18 ,56 
TOMITA,CDM,68,52 ,33 ,57 ,64 ,65 ,56 
OKUNO,RM,66,61 ,49 ,64 ,65 ,23 ,51 
NAKANO,LM,64,83 ,53 ,57 ,66 ,37 ,58 
TAE,CDM,63,72 ,35 ,58 ,53 ,57 ,68 
MITA,CDM,63,66 ,50 ,62 ,58 ,65 ,49 
GI,LM,62,43 ,54 ,66 ,66 ,42 ,60 
KANAKUBO,RM,62,58 ,52 ,61 ,63 ,29 ,56 
MIZUNO,RM,61,57 ,59 ,59 ,63 ,22 ,51 
MOTEGI,RM,61,77 ,46 ,59 ,61 ,25 ,46 
SUGIURA,CM,59,62 ,64 ,62 ,53 ,37 ,68 
FUJIMURA,CM,57,73 ,47 ,53 ,59 ,44 ,62 
SASAKI,CAM,54,79 ,33 ,50 ,57 ,33 ,46 
SASHINAMI,CDM,53,70 ,36 ,49 ,56 ,46 ,59 
SHIIHASHI,CM,53,75 ,35 ,48 ,54 ,39 ,59 
WATANABE,CB,66,59 ,24 ,38 ,37 ,65 ,69 
MASUSHIMA,CB,65,57 ,22 ,32 ,45 ,66 ,69 
HIRAOKA,CB,65,53 ,24 ,39 ,41 ,65 ,64 
HACHISUKA,RB,64,65 ,26 ,45 ,56 ,63 ,67 
ISHIKAWA,LB,64,55 ,23 ,43 ,53 ,65 ,67 
OIWA,RB,64,62 ,23 ,45 ,51 ,62 ,71 
SUGAI,RB,64,50 ,25 ,48 ,57 ,65 ,60 
KOJIMA,RB,53,79 ,28 ,31 ,54 ,48 ,53 
TOKIDA,CB,53,78 ,24 ,29 ,31 ,50 ,70 
ROKUTAN,GK,67,69 ,64 ,57 ,69 ,31 ,64 
SEKI,GK,59,54 ,61 ,56 ,59 ,29 ,54 
ISHIKAWA,GK,58,59 ,59 ,55 ,59 ,24 ,47 
