KAYKE,ST,72,86 ,70 ,60 ,68 ,33 ,74 
TOGASHI,ST,65,71 ,65 ,45 ,63 ,19 ,64 
ITO,ST,60,59 ,61 ,36 ,55 ,19 ,76 
AMANO,LW,57,73 ,36 ,54 ,64 ,41 ,57 
WADA,ST,53,72 ,52 ,35 ,49 ,18 ,60 
NAKAGAWA,RW,50,64 ,56 ,38 ,53 ,18 ,37 
NAKAMURA,CAM,73,36 ,72 ,79 ,73 ,30 ,50 
SAITO,LM,72,83 ,64 ,63 ,79 ,23 ,56 
MARTINUS,RM,70,87 ,63 ,66 ,68 ,40 ,65 
KIDA,CDM,66,71 ,36 ,57 ,56 ,64 ,63 
NAKAMACHI,CDM,63,58 ,39 ,56 ,49 ,61 ,71 
MAEDA,CAM,55,70 ,51 ,53 ,48 ,18 ,51 
OGIHARA,CDM,55,72 ,43 ,53 ,50 ,48 ,68 
NAKASHIMA,LM,51,73 ,35 ,45 ,49 ,39 ,65 
HYODO,RM,50,55 ,35 ,50 ,49 ,40 ,58 
ENDO,RM,50,74 ,37 ,47 ,48 ,55 ,58 
NAKAZAWA,CB,69,33 ,41 ,61 ,52 ,66 ,71 
SHIMOHIRA,LB,68,61 ,45 ,53 ,68 ,69 ,63 
AGUIAR,CB,66,60 ,23 ,32 ,32 ,65 ,78 
YAMANAKA,LB,64,69 ,31 ,60 ,65 ,57 ,57 
DEGENEK,CB,64,66 ,48 ,52 ,53 ,61 ,75 
KOBAYASHI,RB,63,56 ,26 ,44 ,55 ,63 ,68 
KURIHARA,CB,60,54 ,24 ,32 ,35 ,62 ,70 
ARAI,CB,59,66 ,24 ,28 ,32 ,61 ,65 
MATSUBARA,RB,57,71 ,27 ,39 ,52 ,57 ,69 
KANAI,LB,55,62 ,22 ,32 ,38 ,58 ,58 
SU,RB,51,67 ,24 ,28 ,42 ,53 ,65 
IIKURA,GK,63,64 ,60 ,62 ,64 ,26 ,61 
ENOMOTO,GK,58,59 ,58 ,60 ,59 ,29 ,58 
TAKAHASHI,GK,52,54 ,49 ,55 ,54 ,32 ,53 
TAGUCHI,GK,48,48 ,50 ,51 ,46 ,15 ,43 
