SÁNCHEZ,ST,89,88 ,87 ,85 ,90 ,41 ,80 
SÁNCHEZ,ST,88,87 ,84 ,83 ,89 ,40 ,77 
SÁNCHEZ,LW,87,86 ,82 ,79 ,88 ,39 ,74 
GIROUD,ST,83,64 ,82 ,69 ,72 ,38 ,83 
PÉREZ,ST,81,76 ,83 ,76 ,80 ,31 ,72 
COQUELIN,CDM,81,70 ,54 ,70 ,76 ,79 ,81 
WELBECK,ST,80,86 ,75 ,71 ,80 ,34 ,79 
ELNENY,CDM,74,63 ,67 ,72 ,69 ,70 ,77 
SANOGO,ST,69,69 ,65 ,52 ,60 ,28 ,69 
AKPOM,ST,64,87 ,58 ,52 ,63 ,29 ,62 
REINE-ADELAÏDE,CAM,63,78 ,48 ,57 ,66 ,44 ,54 
BIELIK,CDM,62,55 ,43 ,60 ,63 ,56 ,64 
WILLOCK,ST,54,80 ,51 ,38 ,60 ,18 ,46 
ÖZIL,CAM,89,72 ,74 ,86 ,86 ,24 ,58 
CAZORLA,CAM,86,71 ,78 ,85 ,86 ,57 ,64 
RAMSEY,CM,84,69 ,77 ,80 ,81 ,68 ,76 
XHAKA,CM,84,51 ,66 ,81 ,72 ,72 ,77 
WALCOTT,RM,84,95 ,83 ,77 ,84 ,42 ,70 
WALCOTT,LM,81,93 ,77 ,73 ,80 ,38 ,66 
OXLADE-CHAMBERLAIN,RM,79,89 ,71 ,73 ,84 ,42 ,70 
IWOBI,LM,70,77 ,59 ,60 ,76 ,28 ,64 
ZELALEM,CM,67,63 ,49 ,68 ,70 ,44 ,44 
MAITLAND-NILES,RM,65,77 ,58 ,59 ,67 ,39 ,49 
KOSCIELNY,CB,85,78 ,40 ,62 ,65 ,85 ,78 
MERTESACKER,CB,84,28 ,43 ,60 ,50 ,90 ,78 
MUSTAFI,CB,83,70 ,57 ,63 ,60 ,83 ,79 
MUSTAFI,CB,83,70 ,57 ,63 ,60 ,83 ,79 
MERTESACKER,CB,83,27 ,41 ,56 ,48 ,88 ,75 
MONREAL,LB,81,77 ,53 ,72 ,75 ,81 ,73 
DEBUCHY,RB,80,74 ,65 ,73 ,73 ,79 ,77 
GIBBS,LB,80,81 ,57 ,72 ,77 ,80 ,72 
BELLERÍN,RB,80,96 ,52 ,72 ,80 ,77 ,73 
GABRIEL,CB,79,70 ,54 ,65 ,64 ,80 ,76 
BELLERÍN,RB,79,95 ,51 ,68 ,77 ,74 ,68 
JENKINSON,RB,73,74 ,50 ,66 ,68 ,72 ,74 
HOLDING,CB,67,65 ,34 ,52 ,61 ,65 ,72 
ČECH,GK,88,83 ,90 ,77 ,85 ,45 ,85 
OSPINA,GK,79,83 ,71 ,78 ,84 ,34 ,77 
MACEY,GK,52,53 ,49 ,46 ,53 ,38 ,49 
