GRADEL,LW,79,88 ,74 ,71 ,82 ,44 ,61 
WILSON,ST,76,91 ,73 ,63 ,75 ,34 ,78 
AFOBE,ST,74,83 ,73 ,60 ,71 ,26 ,72 
KING,CAM,74,92 ,80 ,65 ,80 ,35 ,70 
KING,ST,72,90 ,68 ,60 ,74 ,30 ,62 
IBE,LW,71,86 ,67 ,60 ,75 ,48 ,68 
GRABBAN,ST,70,78 ,70 ,57 ,68 ,27 ,69 
MOUSSET,ST,68,84 ,72 ,39 ,67 ,21 ,60 
O'HANLON,ST,57,66 ,53 ,39 ,51 ,27 ,62 
WILSHERE,CM,82,76 ,69 ,81 ,84 ,62 ,73 
ARTER,CM,75,69 ,72 ,72 ,73 ,63 ,78 
ARTER,CM,75,69 ,72 ,72 ,73 ,63 ,78 
ARTER,CM,74,69 ,72 ,71 ,72 ,62 ,77 
FRASER,RM,74,92 ,70 ,72 ,80 ,46 ,41 
STANISLAS,RM,73,84 ,72 ,72 ,75 ,36 ,60 
PUGH,LM,72,74 ,66 ,66 ,75 ,39 ,68 
GOSLING,CM,72,65 ,68 ,70 ,68 ,67 ,69 
FRASER,LM,72,90 ,63 ,66 ,75 ,42 ,56 
COOK,CM,71,76 ,56 ,66 ,76 ,62 ,70 
STANISLAS,LM,70,82 ,66 ,67 ,69 ,32 ,56 
HYNDMAN,CM,65,71 ,54 ,68 ,70 ,53 ,43 
CORNICK,RM,57,82 ,52 ,47 ,57 ,28 ,56 
WILSON,CB,74,67 ,57 ,65 ,65 ,75 ,73 
AKÉ,CB,74,80 ,60 ,72 ,70 ,76 ,77 
FRANCIS,CB,73,69 ,43 ,66 ,68 ,73 ,75 
DANIELS,LB,72,78 ,52 ,71 ,70 ,70 ,70 
AKÉ,LB,72,78 ,49 ,65 ,66 ,71 ,73 
COOK,CB,72,58 ,24 ,50 ,60 ,72 ,75 
SMITH,RB,71,76 ,54 ,66 ,72 ,68 ,67 
MINGS,LB,71,78 ,36 ,59 ,67 ,69 ,77 
WIGGINS,LB,69,64 ,42 ,57 ,62 ,69 ,72 
SMITH,LB,65,82 ,43 ,59 ,59 ,56 ,68 
CARGILL,CB,65,61 ,29 ,47 ,57 ,64 ,65 
BUCKLEY,LB,51,54 ,29 ,33 ,40 ,53 ,58 
BORUC,GK,81,82 ,78 ,70 ,86 ,47 ,80 
BORUC,GK,76,77 ,72 ,62 ,83 ,41 ,74 
FEDERICI,GK,73,73 ,69 ,78 ,73 ,47 ,70 
ALLSOP,GK,64,64 ,58 ,65 ,67 ,42 ,60 
HOLMES,GK,54,51 ,54 ,56 ,52 ,30 ,55 
O'FLAHERTY,GK,54,60 ,47 ,50 ,63 ,46 ,44 
