GRAY,ST,75,91 ,74 ,60 ,70 ,23 ,75 
VOKES,ST,73,60 ,72 ,62 ,66 ,40 ,80 
BAMFORD,ST,71,75 ,69 ,60 ,70 ,34 ,62 
BARNES,ST,71,69 ,70 ,60 ,70 ,42 ,78 
DEFOUR,CM,79,68 ,70 ,77 ,76 ,74 ,73 
HENDRICK,CM,72,68 ,63 ,67 ,67 ,67 ,70 
ARFIELD,LM,72,71 ,68 ,70 ,73 ,63 ,68 
GUDMUNDSSON,RM,72,76 ,72 ,68 ,75 ,49 ,70 
BOYD,RM,71,67 ,69 ,69 ,72 ,57 ,68 
MARNEY,CM,71,67 ,65 ,70 ,69 ,68 ,80 
KIGHTLY,LM,70,76 ,62 ,64 ,71 ,38 ,66 
O'NEILL,CM,57,65 ,45 ,53 ,54 ,49 ,56 
KEANE,CB,75,67 ,39 ,56 ,60 ,76 ,75 
LOWTON,RB,75,76 ,59 ,66 ,70 ,72 ,75 
MEE,CB,74,69 ,37 ,60 ,65 ,73 ,77 
FLANAGAN,RB,73,70 ,39 ,59 ,69 ,74 ,75 
WARD,LB,72,68 ,59 ,67 ,67 ,71 ,73 
TARKOWSKI,CB,71,68 ,24 ,47 ,61 ,72 ,71 
DARIKWA,RB,70,89 ,48 ,58 ,68 ,63 ,76 
LONG,CB,66,54 ,27 ,35 ,50 ,65 ,66 
HEATON,GK,82,81 ,80 ,76 ,83 ,56 ,81 
HEATON,GK,76,76 ,75 ,71 ,78 ,52 ,76 
ROBINSON,GK,70,67 ,68 ,78 ,65 ,40 ,73 
POPE,GK,64,67 ,65 ,59 ,66 ,50 ,63 
MITCHELL,GK,54,54 ,53 ,52 ,56 ,39 ,52 
