MBOKANI,ST,79,82 ,76 ,61 ,76 ,33 ,78 
GROSICKI,RW,77,88 ,75 ,73 ,76 ,32 ,59 
NIASSE,ST,77,83 ,75 ,57 ,75 ,30 ,73 
HERNÁNDEZ,ST,76,87 ,73 ,57 ,75 ,29 ,73 
NIASSE,ST,75,81 ,74 ,57 ,72 ,30 ,73 
DIOMANDE,ST,72,82 ,71 ,44 ,70 ,24 ,78 
KEANE,ST,67,76 ,66 ,55 ,68 ,34 ,60 
TER HORST,ST,59,65 ,59 ,44 ,57 ,27 ,54 
LUER,ST,58,72 ,59 ,45 ,53 ,22 ,55 
BOWEN,ST,57,63 ,53 ,49 ,57 ,26 ,56 
HINCHLIFFE,ST,55,60 ,55 ,46 ,57 ,18 ,47 
ELMOHAMADY,RB,81,80 ,72 ,80 ,80 ,74 ,77 
N'DIAYE,CDM,79,69 ,54 ,65 ,67 ,78 ,85 
MARKOVIĆ,RM,78,92 ,66 ,71 ,83 ,40 ,56 
SNODGRASS,RM,77,66 ,76 ,78 ,77 ,43 ,74 
EVANDRO,CM,76,66 ,71 ,77 ,80 ,50 ,61 
HENRIKSEN,CAM,76,65 ,77 ,70 ,73 ,66 ,81 
MARKOVIĆ,RM,76,92 ,65 ,68 ,83 ,40 ,54 
MASON,CDM,75,68 ,68 ,76 ,73 ,69 ,68 
LIVERMORE,CM,75,68 ,66 ,72 ,72 ,71 ,80 
SNODGRASS,RM,75,66 ,74 ,76 ,77 ,43 ,74 
ELMOHAMADY,RM,75,78 ,68 ,73 ,73 ,69 ,72 
HUDDLESTONE,CM,75,43 ,71 ,79 ,67 ,70 ,72 
EVANDRO,CM,74,66 ,71 ,75 ,78 ,49 ,60 
MALONEY,CAM,74,67 ,68 ,73 ,76 ,38 ,60 
MEYLER,CM,72,55 ,62 ,69 ,68 ,65 ,80 
MEYLER,CM,72,55 ,62 ,69 ,68 ,65 ,80 
CLUCAS,LM,68,72 ,65 ,65 ,66 ,54 ,69 
BATTY,CM,59,65 ,44 ,57 ,58 ,51 ,62 
WEIR,CAM,56,66 ,41 ,51 ,62 ,38 ,52 
DAVIES,CB,77,68 ,38 ,48 ,54 ,78 ,78 
DAWSON,CB,77,32 ,32 ,45 ,37 ,79 ,77 
RANOCCHIA,CB,76,53 ,32 ,57 ,62 ,79 ,75 
ROBERTSON,LB,75,82 ,60 ,67 ,72 ,71 ,71 
ELABDELLAOUI,RB,75,83 ,55 ,71 ,78 ,70 ,70 
ODUBAJO,RB,72,87 ,60 ,62 ,69 ,70 ,75 
MAGUIRE,CB,72,47 ,35 ,53 ,51 ,71 ,80 
BRUCE,CB,69,43 ,30 ,43 ,52 ,68 ,75 
LENIHAN,RB,63,63 ,48 ,59 ,59 ,62 ,60 
BARKWORTH,CB,61,60 ,42 ,54 ,56 ,58 ,60 
TYMON,LB,58,65 ,28 ,47 ,60 ,56 ,51 
CLACKSTONE,RB,53,59 ,28 ,32 ,51 ,54 ,58 
MARSHALL,GK,76,76 ,72 ,67 ,78 ,48 ,77 
MCGREGOR,GK,75,75 ,74 ,69 ,77 ,33 ,75 
KUCIAK,GK,73,76 ,64 ,54 ,77 ,41 ,77 
JAKUPOVIĆ,GK,68,69 ,69 ,65 ,71 ,46 ,66 
