STURRIDGE,ST,84,89 ,83 ,69 ,81 ,25 ,70 
FIRMINO,ST,84,81 ,83 ,84 ,87 ,42 ,76 
FIRMINO,CF,82,79 ,80 ,78 ,84 ,40 ,72 
LALLANA,CAM,82,73 ,72 ,79 ,83 ,47 ,67 
LEIVA,CDM,80,54 ,39 ,70 ,71 ,80 ,78 
ORIGI,ST,78,85 ,74 ,68 ,76 ,31 ,73 
INGS,ST,77,86 ,74 ,63 ,78 ,35 ,70 
STEWART,CDM,72,74 ,54 ,65 ,66 ,71 ,75 
CHIRIVELLA,CDM,58,54 ,42 ,57 ,57 ,57 ,57 
COUTINHO,LW,86,83 ,77 ,87 ,89 ,35 ,60 
COUTINHO,CAM,85,82 ,74 ,82 ,87 ,33 ,56 
MILNER,LB,84,70 ,80 ,86 ,80 ,73 ,80 
MANÉ,RM,82,94 ,78 ,75 ,85 ,37 ,70 
MANÉ,RW,82,94 ,78 ,75 ,85 ,37 ,70 
WIJNALDUM,LM,81,82 ,75 ,74 ,84 ,56 ,70 
MILNER,CM,81,67 ,76 ,83 ,77 ,69 ,76 
HENDERSON,CM,81,74 ,70 ,81 ,75 ,71 ,85 
CAN,CM,80,76 ,66 ,78 ,78 ,78 ,82 
HENDERSON,CM,80,74 ,70 ,81 ,75 ,71 ,80 
MANÉ,RM,79,92 ,73 ,70 ,82 ,35 ,67 
BRANNAGAN,CM,70,68 ,63 ,73 ,64 ,62 ,68 
GRUJIĆ,CM,70,71 ,65 ,66 ,63 ,68 ,73 
ALEXANDER-ARNOLD,RM,68,82 ,56 ,67 ,65 ,60 ,65 
OJO,LM,64,84 ,59 ,58 ,66 ,30 ,55 
MATIP,CB,83,73 ,48 ,71 ,70 ,86 ,80 
LOVREN,CB,82,58 ,40 ,60 ,63 ,82 ,81 
MATIP,CB,82,72 ,46 ,68 ,68 ,84 ,76 
SAKHO,CB,82,62 ,33 ,62 ,56 ,81 ,84 
CLYNE,RB,81,86 ,61 ,71 ,78 ,79 ,76 
KLAVAN,CB,78,66 ,48 ,63 ,62 ,79 ,77 
MORENO,LB,77,89 ,68 ,68 ,79 ,70 ,74 
ILORI,CB,75,69 ,38 ,49 ,58 ,78 ,71 
GOMEZ,LB,69,79 ,30 ,53 ,65 ,68 ,71 
MASTERSON,CB,60,58 ,33 ,33 ,36 ,61 ,63 
MAGUIRE,LB,59,72 ,37 ,46 ,57 ,56 ,53 
WILLIAMS,CB,59,54 ,42 ,58 ,55 ,56 ,63 
RANDALL,RB,56,64 ,49 ,53 ,56 ,53 ,62 
KARIUS,GK,82,84 ,76 ,80 ,85 ,48 ,80 
MIGNOLET,GK,78,79 ,73 ,65 ,84 ,55 ,72 
MANNINGER,GK,73,72 ,72 ,53 ,74 ,39 ,72 
