AMRABAT,RM,80,86 ,76 ,79 ,84 ,52 ,73 
AMRABAT,ST,79,86 ,76 ,78 ,84 ,38 ,72 
DEENEY,ST,78,69 ,80 ,64 ,69 ,35 ,86 
NIANG,LW,78,89 ,74 ,67 ,82 ,26 ,67 
NIANG,LW,78,89 ,74 ,67 ,82 ,26 ,67 
IGHALO,ST,78,81 ,73 ,56 ,78 ,40 ,75 
OKAKA,ST,77,76 ,74 ,57 ,73 ,26 ,85 
ZÁRATE,ST,77,80 ,79 ,68 ,85 ,33 ,65 
DEENEY,ST,76,69 ,78 ,60 ,68 ,31 ,84 
SUCCESS,RW,74,87 ,68 ,64 ,76 ,29 ,71 
RANÉGIE,ST,65,48 ,62 ,56 ,54 ,30 ,74 
FOLIVI,ST,61,71 ,59 ,39 ,62 ,21 ,57 
SINCLAIR,ST,59,77 ,58 ,46 ,62 ,37 ,58 
ADEYEMO,ST,58,77 ,56 ,37 ,56 ,21 ,47 
JAKUBIAK,ST,58,75 ,56 ,45 ,62 ,23 ,52 
PEREYRA,CM,81,81 ,66 ,80 ,83 ,67 ,69 
CLEVERLEY,LM,78,70 ,69 ,77 ,78 ,54 ,64 
DOUCOURÉ,CM,78,71 ,71 ,73 ,74 ,71 ,79 
CAPOUE,CDM,78,60 ,62 ,70 ,70 ,76 ,81 
BEHRAMI,CDM,77,67 ,64 ,72 ,71 ,74 ,79 
KENEDY,LM,73,82 ,66 ,65 ,77 ,46 ,64 
WATSON,CM,73,58 ,68 ,74 ,70 ,68 ,70 
GUÉDIOURA,CM,71,71 ,69 ,67 ,69 ,64 ,81 
HOLEBAS,LB,77,82 ,69 ,68 ,74 ,75 ,81 
PRÖDL,CB,77,52 ,36 ,48 ,40 ,78 ,79 
KABOUL,CB,77,63 ,44 ,58 ,55 ,76 ,79 
JANMAAT,RB,77,75 ,63 ,69 ,74 ,74 ,81 
DJA DJÉDJÉ,RB,77,82 ,59 ,69 ,73 ,73 ,78 
KABASELE,CB,76,78 ,52 ,49 ,62 ,76 ,81 
BRITOS,CB,75,55 ,34 ,50 ,52 ,77 ,74 
CATHCART,CB,73,62 ,37 ,54 ,54 ,74 ,72 
ZÚÑIGA,LB,73,86 ,65 ,71 ,80 ,67 ,69 
PAREDES,RB,71,82 ,47 ,60 ,72 ,68 ,64 
ROWAN,CB,55,57 ,39 ,38 ,43 ,52 ,62 
MASON,LB,54,78 ,38 ,44 ,55 ,48 ,48 
PANTILIMON,GK,80,77 ,80 ,70 ,80 ,50 ,82 
GOMES,GK,78,83 ,73 ,62 ,82 ,50 ,74 
PANTILIMON,GK,77,74 ,77 ,68 ,78 ,48 ,79 
ARLAUSKIS,GK,69,70 ,64 ,70 ,77 ,33 ,62 
GILMARTIN,GK,59,67 ,54 ,54 ,61 ,52 ,54 
