DINENNO,ST,66,67 ,65 ,52 ,58 ,23 ,72 
ACOSTA,ST,63,76 ,60 ,59 ,69 ,34 ,56 
MIRACCO,ST,62,68 ,61 ,63 ,62 ,37 ,52 
CASTRO,CM,68,82 ,65 ,68 ,76 ,44 ,64 
YERI,RM,67,76 ,57 ,62 ,68 ,64 ,71 
LLAMA,CAM,65,67 ,66 ,64 ,68 ,44 ,60 
GALVÁN,CB,70,66 ,56 ,54 ,56 ,70 ,76 
CANEVER,LB,68,70 ,32 ,48 ,57 ,70 ,69 
DÍAZ,RB,66,60 ,60 ,67 ,63 ,64 ,75 
QUÍLEZ,RB,64,71 ,32 ,40 ,64 ,68 ,60 
ARIAS,LB,63,75 ,48 ,43 ,60 ,60 ,72 
LEDESMA,CB,63,54 ,40 ,40 ,40 ,63 ,68 
CAMPODÓNICO,GK,69,71 ,65 ,74 ,65 ,44 ,71 
VEGA,GK,64,60 ,58 ,81 ,48 ,32 ,77 
