SILVA,ST,72,54 ,74 ,61 ,65 ,40 ,70 
SPERDUTI,RW,69,78 ,67 ,62 ,72 ,25 ,54 
ASENJO,ST,65,64 ,65 ,38 ,63 ,25 ,70 
ERVITI,CAM,72,67 ,64 ,71 ,74 ,56 ,52 
BERTOLO,RM,70,73 ,64 ,67 ,76 ,36 ,61 
SARMIENTO,LM,70,92 ,65 ,64 ,74 ,29 ,45 
PRICHODA,LM,65,79 ,58 ,56 ,67 ,30 ,60 
REMEDI,CDM,63,57 ,41 ,61 ,58 ,57 ,64 
SPORLE,LM,61,73 ,42 ,57 ,58 ,53 ,65 
CIVELLI,CB,78,49 ,53 ,54 ,42 ,78 ,79 
SOTO,LB,70,71 ,29 ,49 ,72 ,70 ,62 
BETTINI,RB,68,69 ,33 ,54 ,57 ,67 ,66 
PÉREZ,CB,68,34 ,38 ,40 ,34 ,68 ,82 
PRÓSPERI,RB,68,73 ,50 ,61 ,61 ,70 ,65 
RODRÍGUEZ,CB,68,59 ,28 ,38 ,45 ,69 ,62 
MATHEU,CB,67,67 ,22 ,51 ,52 ,65 ,72 
CIVELLI,LB,66,68 ,63 ,65 ,64 ,61 ,74 
NAVARRO,GK,69,64 ,66 ,71 ,75 ,41 ,74 
ALTAMIRANO,GK,56,59 ,54 ,51 ,62 ,42 ,43 
