PUSSETTO,ST,66,70 ,62 ,52 ,68 ,22 ,62 
MENDOZA,ST,63,64 ,62 ,54 ,62 ,28 ,65 
FRITZLER,CDM,72,51 ,49 ,60 ,60 ,72 ,67 
MONTENEGRO,CAM,72,58 ,68 ,74 ,72 ,35 ,52 
TORANZO,CAM,71,59 ,63 ,73 ,72 ,58 ,68 
GONZÁLEZ,LM,69,66 ,71 ,70 ,72 ,55 ,61 
GAMARRA,LM,69,83 ,55 ,61 ,75 ,29 ,45 
COMPAGNUCCI,CM,58,73 ,42 ,54 ,60 ,54 ,61 
NERVO,CB,70,67 ,43 ,51 ,47 ,70 ,78 
ARAUJO,RB,70,71 ,45 ,65 ,70 ,69 ,63 
MANCINELLI,CB,69,58 ,40 ,43 ,49 ,71 ,67 
RISSO,CB,69,32 ,29 ,34 ,38 ,71 ,76 
GARRÉ,LB,67,70 ,48 ,68 ,63 ,62 ,64 
DÍAZ,GK,73,70 ,68 ,64 ,76 ,37 ,78 
GIORDANO,GK,65,62 ,64 ,65 ,61 ,36 ,76 
MARINELLI,GK,64,65 ,62 ,66 ,67 ,30 ,62 
