DEPETRIS,ST,67,76 ,66 ,66 ,69 ,21 ,58 
VIDAL,RW,64,74 ,62 ,58 ,65 ,40 ,66 
FORNARI,ST,63,72 ,56 ,49 ,75 ,22 ,55 
CUEVAS,ST,62,52 ,60 ,36 ,55 ,26 ,66 
DI RENZO,RW,62,80 ,58 ,54 ,64 ,24 ,55 
NÚÑEZ,CAM,72,78 ,68 ,69 ,73 ,37 ,68 
SANTANA,CDM,66,54 ,59 ,67 ,66 ,60 ,69 
PEREIRA,CDM,66,71 ,60 ,64 ,66 ,59 ,77 
ASTINA,LM,65,80 ,62 ,61 ,71 ,33 ,45 
BUSSE,CM,64,86 ,55 ,64 ,70 ,46 ,59 
SPINACI,CDM,61,63 ,40 ,55 ,57 ,57 ,68 
PASCUCCI,CM,56,65 ,53 ,53 ,54 ,55 ,67 
COSARO,LB,69,75 ,37 ,59 ,66 ,67 ,75 
NIZ,RB,68,68 ,43 ,46 ,44 ,73 ,68 
ARCE,CB,67,34 ,35 ,43 ,46 ,67 ,68 
DUTARI,CB,65,66 ,30 ,46 ,46 ,66 ,68 
SCIFO,RB,65,72 ,33 ,54 ,53 ,62 ,67 
SUÁREZ,LB,64,67 ,30 ,46 ,52 ,66 ,69 
CHIARINI,GK,70,72 ,65 ,66 ,73 ,45 ,73 
