RÍOS,ST,68,79 ,62 ,62 ,73 ,28 ,72 
GONZÁLEZ,ST,64,73 ,62 ,55 ,64 ,22 ,62 
FREDES,CM,72,70 ,62 ,74 ,73 ,46 ,53 
CASTELLANI,CM,71,69 ,69 ,73 ,73 ,42 ,76 
MIRANDA,RM,65,79 ,59 ,60 ,68 ,35 ,63 
KAPROF,CAM,63,71 ,63 ,50 ,66 ,26 ,67 
RIVERO,CDM,62,66 ,47 ,58 ,60 ,58 ,60 
DELGADO,LB,73,78 ,57 ,70 ,72 ,69 ,74 
ALVARADO,CB,72,62 ,35 ,50 ,59 ,72 ,72 
BARBOZA,CB,71,50 ,28 ,46 ,45 ,73 ,69 
CARDONA,CB,67,61 ,45 ,43 ,54 ,67 ,73 
BUSCHIAZZO,CB,67,49 ,35 ,50 ,54 ,65 ,73 
ARIAS,GK,70,70 ,66 ,58 ,76 ,37 ,66 
UNSAIN,GK,70,80 ,64 ,73 ,74 ,45 ,60 
ROSSI,GK,64,55 ,62 ,55 ,62 ,43 ,71 
LUNA,GK,60,60 ,61 ,59 ,63 ,32 ,51 
