DENIS,ST,75,48 ,77 ,60 ,67 ,28 ,72 
VERA,ST,72,67 ,72 ,59 ,68 ,28 ,70 
ALBERTENGO,ST,71,75 ,70 ,66 ,70 ,24 ,66 
RIGONI,LM,81,83 ,78 ,81 ,80 ,47 ,64 
RIGONI,LM,76,81 ,70 ,76 ,75 ,43 ,59 
ORTIZ,CM,74,72 ,64 ,72 ,71 ,69 ,70 
MEZA,RM,74,79 ,71 ,70 ,80 ,35 ,67 
BENÍTEZ,LM,73,78 ,66 ,68 ,77 ,22 ,55 
RODRÍGUEZ,CAM,73,73 ,70 ,72 ,73 ,55 ,76 
MIÑO,LM,73,78 ,71 ,74 ,72 ,50 ,67 
ERVITI,CAM,72,67 ,64 ,71 ,74 ,56 ,52 
RODRÍGUEZ,CDM,71,63 ,56 ,68 ,68 ,68 ,68 
DOMÍNGUEZ,CDM,71,68 ,56 ,64 ,66 ,69 ,73 
CUESTA,CB,77,60 ,46 ,56 ,60 ,78 ,78 
TAGLIAFICO,LB,76,92 ,48 ,64 ,73 ,73 ,70 
TOLEDO,RB,73,80 ,50 ,62 ,72 ,69 ,67 
PELLERANO,CB,73,57 ,34 ,58 ,48 ,74 ,72 
FIGAL,CB,72,73 ,41 ,51 ,64 ,72 ,70 
MARTÍNEZ,RB,68,75 ,55 ,59 ,66 ,63 ,67 
BREITENBRUCH,RB,65,66 ,36 ,57 ,60 ,63 ,72 
CAMPAÑA,GK,76,81 ,75 ,72 ,81 ,40 ,71 
