SCOCCO,ST,81,81 ,84 ,80 ,84 ,40 ,78 
SCOCCO,ST,74,79 ,80 ,76 ,80 ,35 ,72 
MATOS,ST,73,55 ,74 ,56 ,65 ,30 ,65 
SCOCCO,ST,72,77 ,74 ,68 ,75 ,30 ,67 
ISNALDO,LW,68,76 ,64 ,65 ,69 ,31 ,62 
TÉVEZ,RW,66,83 ,60 ,62 ,70 ,25 ,56 
RODRÍGUEZ,LM,75,68 ,78 ,76 ,77 ,36 ,68 
MATEO,CDM,71,47 ,42 ,65 ,60 ,76 ,67 
FIGUEROA,CM,71,79 ,66 ,72 ,73 ,45 ,55 
FORMICA,CAM,70,78 ,63 ,66 ,74 ,30 ,58 
PREDIGER,CM,69,74 ,62 ,66 ,69 ,69 ,75 
SILLS,CDM,67,67 ,34 ,58 ,60 ,72 ,72 
QUIGNON,CM,67,68 ,53 ,64 ,64 ,65 ,68 
VOBORIL,LB,74,76 ,31 ,57 ,66 ,72 ,71 
ADVÍNCULA,RB,72,92 ,64 ,67 ,75 ,64 ,75 
MOIRAGHI,CB,70,55 ,32 ,40 ,44 ,71 ,69 
SAN ROMÁN,RB,69,65 ,21 ,51 ,61 ,72 ,65 
DOMÍNGUEZ,CB,69,46 ,46 ,52 ,53 ,68 ,67 
PAZ,CB,67,47 ,45 ,46 ,47 ,66 ,78 
FERNÁNDEZ,CB,65,42 ,44 ,52 ,45 ,66 ,63 
VEGA,LB,61,67 ,28 ,45 ,54 ,63 ,62 
POCRNJIC,GK,74,74 ,72 ,64 ,73 ,28 ,74 
UNSAIN,GK,70,80 ,64 ,73 ,74 ,45 ,60 
