LÓPEZ,ST,82,80 ,83 ,77 ,81 ,50 ,78 
LÓPEZ,ST,78,78 ,77 ,72 ,76 ,46 ,72 
BOU,ST,77,75 ,76 ,66 ,73 ,30 ,73 
GUISAO,RW,71,81 ,71 ,64 ,73 ,41 ,66 
ACUÑA,LM,82,87 ,74 ,83 ,84 ,60 ,80 
ACUÑA,LM,78,84 ,67 ,77 ,78 ,57 ,76 
VIDELA,CM,75,70 ,62 ,68 ,72 ,75 ,77 
ACUÑA,LM,75,84 ,63 ,72 ,75 ,54 ,74 
AUED,CM,74,60 ,59 ,72 ,72 ,65 ,74 
MELI,CM,72,79 ,60 ,66 ,71 ,70 ,72 
GONZÁLEZ,CM,72,65 ,66 ,67 ,68 ,71 ,79 
CERRO,CM,72,75 ,56 ,70 ,69 ,71 ,79 
VISMARA,CDM,70,54 ,44 ,63 ,59 ,67 ,72 
ROSALES,LM,69,80 ,60 ,65 ,73 ,22 ,54 
INSÚA,LB,74,79 ,58 ,62 ,70 ,72 ,78 
SÁNCHEZ,CB,74,61 ,31 ,55 ,56 ,73 ,78 
VITTOR,CB,72,53 ,59 ,62 ,63 ,71 ,79 
TORSIGLIERI,CB,72,35 ,44 ,61 ,47 ,72 ,78 
PILLUD,RB,72,84 ,51 ,63 ,64 ,67 ,78 
ÁLVAREZ,LB,72,69 ,52 ,64 ,63 ,73 ,78 
GRIMI,LB,71,69 ,62 ,63 ,65 ,71 ,74 
DÍAZ,RB,69,79 ,56 ,71 ,71 ,60 ,68 
ORIÓN,GK,78,76 ,80 ,76 ,75 ,44 ,81 
IBÁÑEZ,GK,68,69 ,64 ,76 ,69 ,46 ,69 
