GUTIÉRREZ,ST,79,69 ,79 ,71 ,80 ,26 ,74 
RUBEN,ST,78,76 ,77 ,64 ,75 ,41 ,70 
CARRIZO,LW,74,89 ,65 ,73 ,76 ,36 ,60 
HERRERA,ST,69,70 ,68 ,58 ,65 ,47 ,74 
LO CELSO,CAM,74,77 ,58 ,76 ,76 ,40 ,63 
MUSTO,CDM,73,54 ,49 ,65 ,63 ,70 ,77 
FERNÁNDEZ,LM,72,81 ,66 ,70 ,72 ,52 ,60 
COLMAN,CM,72,61 ,63 ,76 ,71 ,54 ,58 
MONTOYA,RM,70,83 ,60 ,65 ,73 ,40 ,60 
AGUIRRE,LM,68,94 ,60 ,61 ,71 ,48 ,60 
MARTÍNEZ,CDM,67,66 ,51 ,62 ,65 ,62 ,74 
PINOLA,CB,76,72 ,50 ,67 ,70 ,76 ,76 
VILLAGRA,LB,73,79 ,56 ,67 ,69 ,69 ,72 
TORSIGLIERI,CB,72,35 ,44 ,61 ,47 ,72 ,78 
MENOSSE,CB,72,63 ,36 ,47 ,41 ,72 ,78 
SALAZAR,RB,70,90 ,47 ,56 ,70 ,65 ,65 
CETTO,CB,69,53 ,46 ,47 ,51 ,69 ,68 
BURGOS,CB,68,54 ,32 ,40 ,50 ,68 ,74 
GISSI,RB,61,54 ,47 ,58 ,52 ,60 ,72 
SOSA,GK,73,74 ,69 ,71 ,77 ,40 ,70 
RODRÍGUEZ,GK,72,75 ,66 ,77 ,75 ,42 ,67 
