DOUMBIA,ST,84,94 ,85 ,73 ,84 ,45 ,77 
DOUMBIA,ST,79,91 ,78 ,67 ,78 ,39 ,72 
JANKO,ST,76,51 ,79 ,53 ,63 ,35 ,78 
BOËTIUS,LW,74,88 ,70 ,69 ,79 ,27 ,49 
DIÉ,CDM,82,72 ,60 ,70 ,76 ,82 ,85 
DELGADO,CAM,77,66 ,72 ,80 ,75 ,27 ,74 
ZUFFI,CM,77,71 ,69 ,80 ,73 ,62 ,71 
DIÉ,CDM,76,70 ,48 ,64 ,71 ,76 ,81 
BJARNASON,LM,75,75 ,71 ,69 ,71 ,56 ,78 
ELYOUNOUSSI,RM,74,84 ,80 ,70 ,82 ,48 ,70 
STEFFEN,RM,74,87 ,70 ,68 ,77 ,31 ,69 
XHAKA,CDM,72,78 ,61 ,68 ,70 ,67 ,81 
ELYOUNOUSSI,LM,72,82 ,70 ,63 ,78 ,43 ,63 
FRANSSON,CM,70,77 ,57 ,67 ,66 ,66 ,65 
CALLÀ,LM,67,72 ,68 ,62 ,66 ,32 ,77 
BUA,LM,64,81 ,58 ,54 ,67 ,29 ,57 
CANI,CAM,52,63 ,44 ,47 ,50 ,39 ,53 
LANG,RB,81,80 ,70 ,74 ,70 ,81 ,82 
SUCHÝ,CB,78,76 ,52 ,57 ,65 ,77 ,81 
LANG,RB,75,77 ,63 ,66 ,61 ,76 ,77 
BALANTA,CB,75,71 ,40 ,53 ,65 ,73 ,80 
TRAORÉ,LB,73,86 ,57 ,66 ,70 ,70 ,72 
GABER,RB,69,76 ,57 ,66 ,67 ,65 ,74 
HØEGH,CB,68,70 ,39 ,46 ,56 ,69 ,69 
AKANJI,CB,53,53 ,27 ,32 ,34 ,52 ,60 
VACLÍK,GK,76,76 ,75 ,74 ,79 ,34 ,75 
VAILATI,GK,64,63 ,66 ,58 ,61 ,28 ,66 
