SCHNEUWLY,ST,69,66 ,68 ,59 ,62 ,41 ,74 
JURIĆ,ST,67,63 ,68 ,50 ,65 ,34 ,74 
SCHÜRPF,RW,58,67 ,58 ,53 ,58 ,38 ,63 
RODRÍGUEZ,CM,72,83 ,68 ,73 ,74 ,40 ,64 
HYKA,LM,70,83 ,61 ,62 ,73 ,35 ,51 
SCHNEUWLY,RM,69,70 ,67 ,66 ,67 ,45 ,62 
NEUMAYR,CAM,69,72 ,64 ,70 ,68 ,42 ,63 
RODRÍGUEZ,CAM,68,81 ,65 ,66 ,70 ,37 ,60 
KRYEZIU,CDM,64,73 ,44 ,62 ,64 ,58 ,63 
NEZIRAJ,CAM,61,64 ,52 ,61 ,58 ,40 ,62 
GRETHER,CM,61,69 ,51 ,59 ,57 ,54 ,64 
ARNOLD,CDM,58,52 ,37 ,49 ,50 ,59 ,64 
HAAS,CM,58,75 ,48 ,55 ,60 ,55 ,51 
OLIVEIRA,LM,57,76 ,50 ,51 ,57 ,28 ,55 
COSTA,CB,78,50 ,38 ,45 ,53 ,78 ,82 
COSTA,CB,74,50 ,37 ,45 ,53 ,74 ,81 
PULJIC,CB,67,32 ,47 ,51 ,45 ,64 ,72 
LUSTENBERGER,LB,66,72 ,46 ,61 ,61 ,64 ,75 
SARR,RB,65,72 ,46 ,52 ,65 ,62 ,78 
ROGULJ,CB,65,33 ,22 ,43 ,36 ,63 ,73 
SARR,RB,65,72 ,46 ,52 ,65 ,62 ,78 
AFFOLTER,CB,65,72 ,37 ,59 ,61 ,64 ,65 
THIESSON,RB,61,64 ,52 ,58 ,53 ,60 ,60 
MATRI,CB,59,33 ,31 ,40 ,44 ,59 ,66 
ZIBUNG,GK,68,72 ,69 ,65 ,71 ,27 ,61 
OMLIN,GK,52,57 ,47 ,56 ,54 ,46 ,45 
